Player,Pos,Age,Tm,G,MP,FG%,Dist.,...9, at 2P,at 0-3ft, at 3-10ft,at 10-16ft,at 16ft-3P, at 3P,...16,2P%,0-3ft%,3-10ft%,10-16ft%,16ft-3P%,3P%,...23,% at 2P AST'd,% at 3P AST'd,...26,% of Dunk FGA,Dunks,% of Corner 3PA,Corner 3P%,...31,Heaves Att.,Heaves,...34,...35
Steven Adams,C,28,MEM,76,1999,0.547,2.9,NA,0.997,0.693,0.26,0.042,0.003,0.003,NA,0.548,0.632,0.35,0.438,0,0,NA,0.49,NA,NA,0.143,48,NA,0,NA,NA,1,0,adamsst01
Bam Adebayo,C,24,MIA,56,1825,0.557,7,NA,0.992,0.395,0.309,0.2,0.088,0.008,NA,0.562,0.771,0.467,0.404,0.313,0,NA,0.608,NA,NA,0.181,119,NA,0,NA,NA,2,0,adebaba01
Santi Aldama,PF,21,MEM,32,360,0.402,12,NA,0.636,0.333,0.205,0.091,0.008,0.364,NA,0.56,0.682,0.444,0.417,0,0.125,NA,0.638,1,NA,0.076,10,NA,0.229,0.364,NA,0,0,aldamsa01
LaMarcus Aldridge,C,36,BRK,47,1050,0.55,12.3,NA,0.9,0.21,0.17,0.24,0.279,0.1,NA,0.578,0.729,0.513,0.509,0.563,0.304,NA,0.748,1,NA,0.039,18,NA,0.283,0.308,NA,0,0,aldrila01
Grayson Allen,SG,26,MIL,66,1805,0.448,19.2,NA,0.316,0.158,0.097,0.047,0.014,0.684,NA,0.533,0.678,0.4,0.37,0.375,0.409,NA,0.646,0.912,NA,0.023,10,NA,0.26,0.455,NA,0,0,allengr01
Jarrett Allen,C,23,CLE,56,1809,0.677,3.8,NA,0.982,0.624,0.294,0.046,0.018,0.018,NA,0.688,0.809,0.469,0.48,0.6,0.1,NA,0.734,0,NA,0.343,164,NA,0.6,0,NA,0,0,allenja01
Jose Alvarado,PG,23,NOP,54,834,0.446,13.6,NA,0.626,0.235,0.248,0.099,0.044,0.374,NA,0.538,0.609,0.507,0.483,0.462,0.291,NA,0.303,0.969,NA,0,0,NA,0.227,0.32,NA,1,0,alvarjo01
Kyle Anderson,PF,28,MEM,69,1484,0.446,10.7,NA,0.768,0.279,0.303,0.141,0.045,0.232,NA,0.481,0.641,0.437,0.333,0.238,0.33,NA,0.514,0.972,NA,0.043,19,NA,0.422,0.435,NA,0,0,anderky01
Giannis Antetokounmpo,PF,27,MIL,67,2204,0.553,10,NA,0.806,0.406,0.198,0.12,0.082,0.194,NA,0.616,0.808,0.421,0.416,0.431,0.293,NA,0.432,0.423,NA,0.152,179,NA,0.025,0.167,NA,2,0,antetgi01
Thanasis Antetokounmpo,SF,29,MIL,48,473,0.547,5.3,NA,0.891,0.672,0.172,0.039,0.008,0.109,NA,0.596,0.686,0.318,0.2,1,0.143,NA,0.632,0.5,NA,0.227,25,NA,0.429,0.167,NA,1,0,antetth01
Carmelo Anthony,PF,37,LAL,69,1793,0.441,19.1,NA,0.451,0.101,0.066,0.152,0.131,0.549,NA,0.521,0.671,0.417,0.5,0.484,0.375,NA,0.482,0.919,NA,0.019,11,NA,0.171,0.412,NA,0,0,anthoca01
Cole Anthony,PG,21,ORL,65,2059,0.391,16.2,NA,0.571,0.147,0.214,0.095,0.115,0.429,NA,0.432,0.59,0.385,0.448,0.305,0.338,NA,0.24,0.667,NA,0.025,14,NA,0.087,0.324,NA,2,0,anthoco01
OG Anunoby,SF,24,TOR,48,1728,0.443,15.1,NA,0.545,0.263,0.125,0.08,0.077,0.455,NA,0.511,0.689,0.356,0.393,0.278,0.363,NA,0.464,0.87,NA,0.109,62,NA,0.293,0.484,NA,0,0,anunoog01
Ryan Arcidiacono,PG,27,NYK,10,76,0.5,21.5,NA,0.25,0,0.083,0.167,0,0.75,NA,0.667,NA,1,0.5,NA,0.444,NA,1,1,NA,0,0,NA,0.222,0.5,NA,0,0,arcidry01
Trevor Ariza,SF,36,LAL,24,462,0.333,19.3,NA,0.253,0.162,0.081,0.01,0,0.747,NA,0.52,0.688,0.25,0,NA,0.27,NA,0.769,1,NA,0.01,1,NA,0.365,0.185,NA,0,0,arizatr01
Deni Avdija,SF,21,WAS,82,1984,0.432,14.4,NA,0.553,0.221,0.261,0.04,0.031,0.447,NA,0.525,0.633,0.464,0.435,0.389,0.317,NA,0.589,0.939,NA,0.022,7,NA,0.247,0.266,NA,1,0,avdijde01
Joel Ayayi,SG,21,WAS,7,20,0.167,12.6,NA,0.833,0.167,0.333,0.167,0.167,0.167,NA,0.2,0,0,1,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,ayayijo01
Deandre Ayton,C,23,PHO,58,1713,0.634,7,NA,0.973,0.333,0.397,0.184,0.059,0.027,NA,0.642,0.793,0.588,0.555,0.415,0.368,NA,0.809,1,NA,0.145,95,NA,0,NA,NA,0,0,aytonde01
Udoka Azubuike,C,22,UTA,17,195,0.755,2.8,NA,1,0.694,0.286,0.02,0,0,NA,0.755,0.824,0.643,0,NA,NA,NA,0.892,NA,NA,0.571,26,NA,NA,NA,NA,0,0,azubuud01
LaMelo Ball,PG,20,CHO,75,2422,0.429,15.9,NA,0.549,0.204,0.176,0.104,0.065,0.451,NA,0.462,0.582,0.398,0.389,0.37,0.389,NA,0.264,0.75,NA,0.023,24,NA,0.152,0.407,NA,2,0,ballla01
Lonzo Ball,PG,24,CHI,35,1212,0.423,19.9,NA,0.321,0.154,0.047,0.057,0.063,0.679,NA,0.423,0.61,0.333,0.273,0.167,0.423,NA,0.404,0.845,NA,0.018,6,NA,0.235,0.475,NA,2,0,balllo01
Mo Bamba,C,23,ORL,71,1824,0.48,14.3,NA,0.545,0.285,0.157,0.045,0.057,0.455,NA,0.563,0.727,0.433,0.286,0.314,0.381,NA,0.566,0.991,NA,0.159,85,NA,0.27,0.303,NA,0,0,bambamo01
Desmond Bane,SG,23,MEM,76,2266,0.461,16.8,NA,0.525,0.153,0.156,0.116,0.099,0.475,NA,0.484,0.669,0.384,0.438,0.413,0.436,NA,0.596,0.833,NA,0.005,6,NA,0.184,0.385,NA,1,0,banede01
Dalano Banton,PG,22,TOR,64,696,0.411,11,NA,0.748,0.332,0.233,0.119,0.064,0.252,NA,0.464,0.612,0.362,0.292,0.385,0.255,NA,0.329,0.769,NA,0.03,6,NA,0.235,0.25,NA,1,1,bantoda01
Cat Barber,PG,27,ATL,3,13,0,9.6,NA,1,0.5,0,0,0.5,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,barbeca01
Harrison Barnes,PF,29,SAC,77,2587,0.469,13.5,NA,0.568,0.237,0.283,0.041,0.007,0.432,NA,0.525,0.682,0.403,0.471,0.5,0.394,NA,0.566,0.951,NA,0.034,25,NA,0.308,0.486,NA,0,0,barneha02
Scottie Barnes,PF,20,TOR,74,2617,0.492,10.9,NA,0.793,0.264,0.325,0.116,0.088,0.207,NA,0.543,0.711,0.502,0.398,0.378,0.301,NA,0.429,0.845,NA,0.075,62,NA,0.28,0.37,NA,4,1,barnesc01
RJ Barrett,SF,21,NYK,70,2417,0.408,12,NA,0.662,0.309,0.243,0.068,0.042,0.338,NA,0.442,0.596,0.307,0.309,0.3,0.342,NA,0.398,0.913,NA,0.04,40,NA,0.248,0.31,NA,1,0,barrerj01
Will Barton,SG,31,DEN,71,2277,0.438,16,NA,0.52,0.186,0.18,0.067,0.087,0.48,NA,0.504,0.701,0.398,0.433,0.359,0.365,NA,0.498,0.771,NA,0.027,23,NA,0.216,0.441,NA,1,0,bartowi01
Paris Bass,SF,26,PHO,2,7,0.333,11.7,NA,0.667,0.333,0.333,0,0,0.333,NA,0.5,1,0,NA,NA,0,NA,0.5,NA,NA,0.167,1,NA,0,NA,NA,0,0,basspa01
Charles Bassey,C,21,PHI,23,168,0.638,5.6,NA,0.915,0.574,0.213,0.106,0.021,0.085,NA,0.698,0.741,0.7,0.6,0,0,NA,0.667,NA,NA,0.319,13,NA,0.25,0,NA,0,0,bassech01
Keita Bates-Diop,SF,26,SAS,59,956,0.517,8.4,NA,0.791,0.502,0.198,0.046,0.046,0.209,NA,0.572,0.682,0.385,0.5,0.25,0.309,NA,0.756,0.941,NA,0.072,19,NA,0.455,0.32,NA,0,0,bateske01
Nicolas Batum,PF,33,LAC,59,1462,0.463,20.2,NA,0.302,0.121,0.044,0.057,0.08,0.698,NA,0.607,0.809,0.412,0.636,0.387,0.4,NA,0.831,0.972,NA,0.047,14,NA,0.315,0.471,NA,0,0,batumni01
Kent Bazemore,SF,32,LAL,39,545,0.324,18.1,NA,0.424,0.173,0.094,0.058,0.101,0.576,NA,0.271,0.333,0.308,0.125,0.214,0.363,NA,0.813,0.931,NA,0.014,1,NA,0.525,0.405,NA,2,0,bazemke01
Darius Bazley,PF,21,OKC,69,1924,0.422,12.7,NA,0.586,0.307,0.251,0.011,0.017,0.414,NA,0.511,0.613,0.405,0.571,0.182,0.297,NA,0.639,0.95,NA,0.143,77,NA,0.245,0.333,NA,1,0,bazleda01
Bradley Beal,SG,28,WAS,40,1439,0.451,13.1,NA,0.728,0.197,0.252,0.171,0.108,0.272,NA,0.508,0.697,0.407,0.47,0.458,0.3,NA,0.365,0.603,NA,0.017,13,NA,0.238,0.38,NA,0,0,bealbr01
Malik Beasley,SG,25,MIN,79,1976,0.391,20.8,NA,0.251,0.088,0.066,0.052,0.045,0.749,NA,0.432,0.587,0.357,0.341,0.342,0.377,NA,0.652,0.904,NA,0.02,16,NA,0.317,0.406,NA,4,0,beaslma01
Jordan Bell,C,27,CHI,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,belljo01
Patrick Beverley,PG,33,MIN,58,1476,0.406,16.6,NA,0.445,0.17,0.206,0.05,0.018,0.555,NA,0.485,0.568,0.433,0.545,0.125,0.343,NA,0.255,0.783,NA,0,0,NA,0.227,0.473,NA,1,0,beverpa01
Saddiq Bey,SF,22,DET,82,2704,0.396,17.4,NA,0.463,0.166,0.157,0.072,0.068,0.537,NA,0.454,0.619,0.348,0.329,0.429,0.346,NA,0.431,0.891,NA,0.021,23,NA,0.252,0.403,NA,9,0,beysa01
Khem Birch,C,29,TOR,55,991,0.485,6.4,NA,0.93,0.405,0.36,0.16,0.005,0.07,NA,0.522,0.593,0.5,0.406,0,0,NA,0.804,NA,NA,0.135,24,NA,0.857,0,NA,0,0,birchkh01
Goga Bitadze,C,22,IND,50,729,0.52,10.4,NA,0.683,0.468,0.175,0.032,0.008,0.317,NA,0.628,0.737,0.409,0.375,0,0.288,NA,0.694,1,NA,0.119,26,NA,0.063,0.2,NA,0,0,bitadgo01
Bismack Biyombo,C,29,PHO,36,506,0.593,4.3,NA,1,0.517,0.393,0.083,0.007,0,NA,0.593,0.747,0.474,0.25,0,NA,NA,0.744,NA,NA,0.234,34,NA,NA,NA,NA,0,0,biyombi01
Nemanja Bjelica,C,33,GSW,71,1142,0.468,14.1,NA,0.564,0.26,0.26,0.023,0.02,0.436,NA,0.549,0.674,0.438,0.5,0.429,0.362,NA,0.689,0.944,NA,0.026,9,NA,0.128,0.368,NA,0,0,bjeline01
Eric Bledsoe,PG,32,LAC,54,1361,0.421,14.2,NA,0.652,0.231,0.194,0.107,0.12,0.348,NA,0.479,0.611,0.462,0.44,0.286,0.313,NA,0.301,0.902,NA,0.002,1,NA,0.129,0.333,NA,2,0,bledser01
Keljin Blevins,SF,26,POR,31,349,0.306,18.4,NA,0.351,0.207,0.063,0.027,0.054,0.649,NA,0.333,0.391,0.286,0,0.333,0.292,NA,0.615,0.857,NA,0.018,1,NA,0.319,0.217,NA,0,0,blevike01
Bogdan Bogdanović,SG,29,ATL,63,1848,0.431,18.6,NA,0.422,0.113,0.115,0.108,0.086,0.578,NA,0.516,0.622,0.44,0.523,0.471,0.368,NA,0.382,0.793,NA,0.005,3,NA,0.231,0.453,NA,3,0,bogdabo01
Bojan Bogdanović,PF,32,UTA,69,2131,0.455,15.6,NA,0.496,0.147,0.25,0.084,0.015,0.504,NA,0.524,0.684,0.483,0.41,0.286,0.387,NA,0.568,0.917,NA,0.016,11,NA,0.376,0.42,NA,0,0,bogdabo02
Bol Bol,PF,22,DEN,14,81,0.556,10.6,NA,0.852,0.296,0.185,0.296,0.074,0.148,NA,0.609,0.875,0.8,0.375,0,0.25,NA,1,1,NA,0.222,5,NA,0.25,0,NA,0,0,bolbo01
Leandro Bolmaro,SF,21,MIN,35,241,0.315,13.7,NA,0.667,0.352,0.111,0.074,0.13,0.333,NA,0.333,0.474,0.167,0.5,0,0.278,NA,0.583,0.8,NA,0.037,2,NA,0.222,0.25,NA,1,0,bolmale01
Isaac Bonga,SF,22,TOR,15,69,0.231,11,NA,0.692,0.385,0.231,0,0.077,0.308,NA,0.222,0.2,0.333,NA,0,0.25,NA,0.5,1,NA,0,0,NA,1,0.25,NA,0,0,bongais01
Devin Booker,SG,25,PHO,68,2345,0.466,16.1,NA,0.664,0.11,0.158,0.224,0.171,0.336,NA,0.508,0.694,0.476,0.469,0.469,0.383,NA,0.399,0.634,NA,0.016,21,NA,0.123,0.356,NA,2,0,bookede01
Brandon Boston Jr.,SG,20,LAC,51,760,0.385,14.7,NA,0.658,0.258,0.126,0.123,0.151,0.342,NA,0.425,0.631,0.122,0.45,0.306,0.306,NA,0.615,0.588,NA,0.062,15,NA,0.207,0.391,NA,3,0,bostobr01
Chris Boucher,SF,29,TOR,80,1690,0.464,12.1,NA,0.603,0.43,0.113,0.026,0.035,0.397,NA,0.575,0.661,0.4,0.4,0.2,0.297,NA,0.67,0.985,NA,0.128,67,NA,0.275,0.429,NA,1,0,bouchch01
James Bouknight,SG,21,CHO,31,304,0.348,12,NA,0.652,0.333,0.241,0.043,0.035,0.348,NA,0.348,0.553,0.147,0,0.2,0.347,NA,0.438,0.765,NA,0.028,4,NA,0.224,0.364,NA,0,0,bouknja01
Avery Bradley,SG,31,LAL,62,1406,0.423,18.1,NA,0.4,0.137,0.091,0.083,0.089,0.6,NA,0.471,0.604,0.281,0.483,0.452,0.39,NA,0.636,0.939,NA,0.003,1,NA,0.538,0.381,NA,0,0,bradlav01
Tony Bradley,C,24,CHI,55,549,0.585,3.9,NA,1,0.626,0.252,0.065,0.057,0,NA,0.585,0.649,0.484,0.375,0.571,NA,NA,0.75,NA,NA,0.138,13,NA,NA,NA,NA,0,0,bradlto01
Ignas Brazdeikis,SF,23,ORL,42,536,0.431,14,NA,0.537,0.293,0.202,0.027,0.016,0.463,NA,0.535,0.636,0.421,0.2,0.667,0.31,NA,0.574,0.926,NA,0.005,0,NA,0.333,0.31,NA,0,0,brazdig01
Mikal Bridges,SF,25,PHO,82,2854,0.534,13.3,NA,0.636,0.227,0.205,0.159,0.045,0.364,NA,0.628,0.795,0.619,0.507,0.256,0.369,NA,0.764,0.983,NA,0.066,54,NA,0.561,0.4,NA,0,0,bridgmi01
Miles Bridges,PF,23,CHO,80,2837,0.491,12.4,NA,0.617,0.357,0.212,0.02,0.029,0.383,NA,0.59,0.723,0.412,0.458,0.343,0.331,NA,0.597,0.825,NA,0.107,118,NA,0.275,0.344,NA,6,0,bridgmi02
Oshae Brissett,SF,23,IND,67,1564,0.411,13.9,NA,0.532,0.326,0.152,0.024,0.03,0.468,NA,0.465,0.582,0.299,0.167,0.267,0.35,NA,0.672,0.964,NA,0.075,32,NA,0.329,0.372,NA,2,0,brissos01
Malcolm Brogdon,PG,29,IND,36,1206,0.448,13.2,NA,0.657,0.285,0.192,0.103,0.077,0.343,NA,0.518,0.632,0.452,0.411,0.405,0.312,NA,0.249,0.586,NA,0.009,4,NA,0.167,0.323,NA,1,0,brogdma01
Dillon Brooks,SF,26,MEM,32,885,0.432,13.3,NA,0.717,0.196,0.249,0.186,0.086,0.283,NA,0.48,0.68,0.389,0.398,0.467,0.309,NA,0.47,0.826,NA,0.029,12,NA,0.161,0.375,NA,3,0,brookdi01
Bruce Brown,SF,25,BRK,72,1774,0.506,8.4,NA,0.814,0.393,0.302,0.103,0.016,0.186,NA,0.529,0.693,0.379,0.404,0.125,0.404,NA,0.743,0.974,NA,0.071,34,NA,0.649,0.41,NA,0,0,brownbr01
Greg Brown III,SF,20,POR,48,640,0.426,10.7,NA,0.679,0.447,0.158,0.016,0.058,0.321,NA,0.481,0.635,0.2,0.333,0.091,0.311,NA,0.645,1,NA,0.263,41,NA,0.377,0.261,NA,0,0,browngr01
Jaylen Brown,SF,25,BOS,66,2220,0.473,14.5,NA,0.619,0.2,0.234,0.094,0.091,0.381,NA,0.544,0.765,0.425,0.474,0.441,0.358,NA,0.471,0.759,NA,0.034,31,NA,0.185,0.337,NA,2,0,brownja02
Sterling Brown,SG,26,DAL,49,628,0.381,17.1,NA,0.406,0.206,0.116,0.039,0.045,0.594,NA,0.492,0.625,0.278,0.333,0.571,0.304,NA,0.774,0.857,NA,0.013,0,NA,0.5,0.239,NA,1,0,brownst02
Troy Brown Jr.,SF,22,CHI,66,1055,0.419,15,NA,0.484,0.283,0.132,0.027,0.043,0.516,NA,0.488,0.562,0.412,0.143,0.455,0.353,NA,0.672,0.957,NA,0.027,5,NA,0.594,0.342,NA,2,0,browntr01
Jalen Brunson,SG,25,DAL,79,2524,0.502,13.1,NA,0.75,0.147,0.288,0.189,0.126,0.25,NA,0.545,0.703,0.524,0.518,0.449,0.373,NA,0.262,0.809,NA,0.005,5,NA,0.298,0.507,NA,0,0,brunsja01
Thomas Bryant,C,24,WAS,27,439,0.52,11.5,NA,0.716,0.385,0.169,0.034,0.128,0.284,NA,0.613,0.754,0.48,0.2,0.474,0.286,NA,0.738,1,NA,0.223,30,NA,0.167,0.286,NA,0,0,bryanth01
Shaq Buchanan,SG,25,MEM,2,10,0.25,13.6,NA,0.5,0.5,0,0,0,0.5,NA,0.5,0.5,NA,NA,NA,0,NA,1,NA,NA,0,0,NA,0,NA,NA,0,0,buchash01
Reggie Bullock,SF,30,DAL,68,1902,0.401,20.9,NA,0.218,0.096,0.048,0.032,0.042,0.782,NA,0.55,0.688,0.292,0.688,0.429,0.36,NA,0.767,0.986,NA,0.004,2,NA,0.446,0.406,NA,0,0,bullore01
Trey Burke,PG,29,DAL,42,441,0.391,17,NA,0.619,0.098,0.163,0.126,0.233,0.381,NA,0.436,0.714,0.429,0.444,0.32,0.317,NA,0.259,0.846,NA,0,0,NA,0.146,0.583,NA,0,0,burketr01
Alec Burks,SG,30,NYK,81,2318,0.391,17.4,NA,0.466,0.124,0.165,0.111,0.066,0.534,NA,0.378,0.444,0.342,0.358,0.375,0.404,NA,0.43,0.752,NA,0.004,3,NA,0.226,0.432,NA,0,0,burksal01
Jared Butler,SG,21,UTA,42,360,0.404,18.4,NA,0.417,0.066,0.232,0.066,0.053,0.583,NA,0.524,0.6,0.429,0.6,0.75,0.318,NA,0.182,0.5,NA,0,0,NA,0.114,0.3,NA,1,0,butleja02
Jimmy Butler,SF,32,MIA,57,1931,0.48,9.6,NA,0.86,0.306,0.291,0.195,0.068,0.14,NA,0.52,0.701,0.415,0.457,0.339,0.233,NA,0.377,0.778,NA,0.051,38,NA,0.466,0.278,NA,2,0,butleji01
Devontae Cacok,PF,25,SAS,15,121,0.677,4.6,NA,1,0.387,0.484,0.129,0,0,NA,0.677,0.833,0.533,0.75,NA,NA,NA,0.667,NA,NA,0.097,3,NA,NA,NA,NA,0,0,cacokde01
Kentavious Caldwell-Pope,SG,28,WAS,77,2329,0.435,18.1,NA,0.508,0.105,0.117,0.112,0.175,0.492,NA,0.48,0.678,0.361,0.43,0.469,0.39,NA,0.619,0.912,NA,0.011,6,NA,0.346,0.468,NA,0,0,caldwke01
Facundo Campazzo,PG,30,DEN,65,1184,0.361,19.4,NA,0.348,0.149,0.142,0.041,0.017,0.652,NA,0.476,0.614,0.381,0.25,0.6,0.301,NA,0.388,0.741,NA,0.003,0,NA,0.197,0.289,NA,9,0,campafa01
Vlatko Čančar,PF,24,DEN,15,176,0.561,10.6,NA,0.707,0.39,0.195,0.098,0.024,0.293,NA,0.552,0.75,0.375,0.25,0,0.583,NA,0.938,1,NA,0.049,2,NA,0.417,0.4,NA,0,0,cancavl01
Devin Cannady,PG,25,ORL,5,145,0.341,22.5,NA,0.159,0.045,0.045,0.045,0.023,0.841,NA,0,0,0,0,0,0.405,NA,NA,1,NA,0,0,NA,0.297,0.636,NA,0,0,cannade01
Clint Capela,C,27,ATL,74,2042,0.613,2.2,NA,0.998,0.765,0.225,0.007,0.002,0.002,NA,0.614,0.684,0.382,0.5,0,0,NA,0.765,NA,NA,0.295,164,NA,0,NA,NA,1,0,capelca01
Wendell Carter Jr.,PF,22,ORL,62,1852,0.525,12.1,NA,0.687,0.327,0.202,0.101,0.057,0.313,NA,0.615,0.781,0.457,0.478,0.462,0.327,NA,0.609,1,NA,0.143,90,NA,0.103,0.364,NA,1,0,cartewe01
Alex Caruso,SG,27,CHI,41,1147,0.398,15.4,NA,0.508,0.258,0.145,0.043,0.063,0.492,NA,0.462,0.591,0.324,0.364,0.313,0.333,NA,0.567,0.929,NA,0.023,4,NA,0.373,0.383,NA,2,0,carusal01
Ahmad Caver,SG,25,IND,1,1,1,1.8,NA,1,1,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,0,0,caverah01
Justin Champagnie,SF,20,TOR,36,281,0.463,11.7,NA,0.582,0.358,0.209,0.015,0,0.418,NA,0.538,0.625,0.429,0,NA,0.357,NA,0.571,1,NA,0.06,3,NA,0.536,0.333,NA,0,0,champju01
Zylan Cheatham,SF,26,UTA,1,5,0,17.2,NA,0.333,0.333,0,0,0,0.667,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0.5,0,NA,0,0,cheatzy01
Chris Chiozza,PG,26,GSW,34,372,0.296,19.4,NA,0.346,0.111,0.136,0.049,0.049,0.654,NA,0.25,0.222,0.273,0,0.5,0.321,NA,0.143,0.765,NA,0,0,NA,0.245,0.231,NA,0,0,chiozch01
Marquese Chriss,PF,24,DAL,34,346,0.463,7.8,NA,0.813,0.53,0.254,0.015,0.015,0.187,NA,0.495,0.592,0.265,1,0.5,0.32,NA,0.833,1,NA,0.269,27,NA,0.2,0.4,NA,1,0,chrisma01
Josh Christopher,SG,20,HOU,74,1334,0.448,13.3,NA,0.622,0.3,0.188,0.114,0.02,0.378,NA,0.54,0.647,0.532,0.333,0.2,0.296,NA,0.423,0.768,NA,0.078,35,NA,0.217,0.317,NA,6,0,chrisjo01
Gary Clark,PF,27,NOP,38,378,0.375,20.1,NA,0.205,0.091,0.102,0.011,0,0.795,NA,0.278,0.125,0.444,0,NA,0.4,NA,0.8,0.964,NA,0.011,0,NA,0.571,0.5,NA,0,0,clarkga01
Brandon Clarke,PF,25,MEM,64,1246,0.644,5.4,NA,0.951,0.508,0.311,0.116,0.016,0.049,NA,0.666,0.775,0.568,0.462,0.571,0.227,NA,0.7,1,NA,0.181,77,NA,0.682,0.2,NA,0,0,clarkbr01
Jordan Clarkson,SG,29,UTA,79,2141,0.419,16.9,NA,0.464,0.099,0.272,0.075,0.018,0.536,NA,0.535,0.627,0.515,0.554,0.25,0.318,NA,0.221,0.674,NA,0.012,8,NA,0.193,0.348,NA,2,0,clarkjo01
Nic Claxton,C,22,BRK,47,974,0.674,2.5,NA,1,0.697,0.284,0.019,0,0,NA,0.674,0.815,0.347,0.4,NA,NA,NA,0.736,NA,NA,0.356,88,NA,NA,NA,NA,0,0,claxtni01
Amir Coffey,SG,24,LAC,69,1567,0.453,16.8,NA,0.455,0.165,0.167,0.077,0.045,0.545,NA,0.542,0.779,0.449,0.417,0.238,0.378,NA,0.591,0.938,NA,0.034,14,NA,0.291,0.365,NA,1,0,coffeam01
John Collins,PF,24,ATL,54,1663,0.526,11,NA,0.727,0.334,0.211,0.127,0.054,0.273,NA,0.588,0.753,0.463,0.439,0.4,0.364,NA,0.793,0.984,NA,0.146,85,NA,0.318,0.375,NA,0,0,collijo01
Zach Collins,C,24,SAS,28,502,0.49,11,NA,0.735,0.29,0.316,0.065,0.065,0.265,NA,0.544,0.756,0.347,0.5,0.6,0.341,NA,0.742,1,NA,0.039,6,NA,0.049,0.5,NA,0,0,colliza01
Darren Collison,PG,34,LAL,3,37,0.286,16.1,NA,0.571,0.286,0,0,0.286,0.429,NA,0.5,1,NA,NA,0,0,NA,1,NA,NA,0,0,NA,1,0,NA,0,0,collida01
Mike Conley,PG,34,UTA,72,2058,0.435,17.1,NA,0.477,0.075,0.268,0.109,0.025,0.523,NA,0.464,0.559,0.453,0.442,0.4,0.408,NA,0.257,0.521,NA,0.001,0,NA,0.167,0.391,NA,1,0,conlemi01
