Player,Pos,Age,Tm,G,MP,FG%,Dist.,...9, at 2P,at 0-3ft, at 3-10ft,at 10-16ft,at 16ft-3P, at 3P,...16,2P%,0-3ft%,3-10ft%,10-16ft%,16ft-3P%,3P%,...23,% at 2P AST'd,% at 3P AST'd,...26,% of Dunk FGA,Dunks,% of Corner 3PA,Corner 3P%,...31,Heaves Att.,Heaves,...34,...35
Haywood Highsmith,SF,25,MIA,19,163,0.348,16.7,NA,0.391,0.217,0.13,0,0.043,0.609,NA,0.389,0.3,0.5,NA,0.5,0.321,NA,0.857,1,NA,0,0,NA,0.571,0.375,NA,0,0,highsha01
George Hill,PG,35,MIL,54,1253,0.429,15.4,NA,0.513,0.265,0.138,0.062,0.047,0.487,NA,0.546,0.74,0.316,0.294,0.462,0.306,NA,0.442,0.927,NA,0.015,3,NA,0.381,0.392,NA,1,0,hillge01
Solomon Hill,SF,30,ATL,13,139,0.15,17.9,NA,0.35,0.25,0.1,0,0,0.65,NA,0.143,0.2,0,NA,NA,0.154,NA,1,1,NA,0,0,NA,0.231,0.333,NA,1,0,hillso01
Nate Hinton,SG,22,IND,2,2,0,8.1,NA,1,0,1,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,hintona01
Jaylen Hoard,SF,22,OKC,7,240,0.489,10,NA,0.722,0.322,0.344,0.033,0.022,0.278,NA,0.538,0.724,0.387,0.333,0.5,0.36,NA,0.429,0.889,NA,0.044,4,NA,0.28,0.571,NA,0,0,hoardja01
Jrue Holiday,PG,31,MIL,67,2207,0.501,13.6,NA,0.664,0.222,0.246,0.124,0.071,0.336,NA,0.547,0.651,0.464,0.542,0.515,0.411,NA,0.197,0.432,NA,0.004,4,NA,0.103,0.364,NA,1,0,holidjr01
Richaun Holmes,C,28,SAC,45,1074,0.66,5.5,NA,0.983,0.5,0.273,0.2,0.01,0.017,NA,0.664,0.767,0.549,0.567,0.667,0.4,NA,0.75,1,NA,0.233,62,NA,0,NA,NA,0,0,holmeri01
Scotty Hopson,SG,32,OKC,1,18,0.5,17.3,NA,0.75,0,0.25,0,0.5,0.25,NA,0.667,NA,0,NA,1,0,NA,0.5,NA,NA,0,0,NA,0,NA,NA,0,0,hopsosc01
Al Horford,C,35,BOS,69,2005,0.467,15.3,NA,0.534,0.17,0.243,0.069,0.053,0.466,NA,0.582,0.784,0.507,0.538,0.333,0.336,NA,0.678,0.978,NA,0.056,31,NA,0.279,0.378,NA,0,0,horfoal01
Talen Horton-Tucker,SG,21,LAL,60,1511,0.416,12.8,NA,0.662,0.297,0.204,0.1,0.059,0.338,NA,0.492,0.613,0.409,0.389,0.344,0.269,NA,0.406,0.796,NA,0.035,16,NA,0.187,0.324,NA,0,0,hortota01
Dwight Howard,C,36,LAL,60,971,0.612,4.5,NA,0.932,0.63,0.251,0.037,0.014,0.068,NA,0.618,0.732,0.418,0.25,0,0.533,NA,0.675,0.875,NA,0.233,40,NA,0.133,1,NA,0,0,howardw01
Markus Howard,SG,22,DEN,31,176,0.386,20.2,NA,0.307,0.089,0.119,0.04,0.059,0.693,NA,0.355,0.333,0.417,0.25,0.333,0.4,NA,0.545,0.821,NA,0,0,NA,0.243,0.529,NA,0,0,howarma02
Kevin Huerter,SF,23,ATL,74,2188,0.454,18,NA,0.459,0.109,0.136,0.136,0.079,0.541,NA,0.53,0.663,0.485,0.505,0.467,0.389,NA,0.519,0.9,NA,0.004,3,NA,0.26,0.449,NA,2,0,huertke01
Jay Huff,C,23,LAL,4,20,0,19.9,NA,0.333,0,0.333,0,0,0.667,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,huffja01
Feron Hunt,SF,22,NYK,2,8,0,1.5,NA,1,1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,NA,NA,NA,NA,0,0,huntfe01
De'Andre Hunter,SF,24,ATL,53,1577,0.442,13.9,NA,0.661,0.219,0.179,0.153,0.11,0.339,NA,0.474,0.651,0.398,0.409,0.333,0.379,NA,0.661,0.932,NA,0.043,22,NA,0.405,0.405,NA,0,0,huntede01
Chandler Hutchison,SF,25,PHO,6,22,0.5,5,NA,1,0.5,0.5,0,0,0,NA,0.5,0,1,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,0,0,hutchch01
Bones Hyland,SG,21,DEN,69,1310,0.403,19.4,NA,0.373,0.123,0.13,0.072,0.049,0.627,NA,0.465,0.7,0.284,0.341,0.536,0.366,NA,0.364,0.687,NA,0.009,3,NA,0.173,0.306,NA,2,0,hylanbo01
Andre Iguodala,SF,38,GSW,31,603,0.38,18.1,NA,0.388,0.207,0.116,0.025,0.041,0.612,NA,0.617,0.76,0.571,0,0.4,0.23,NA,0.621,0.941,NA,0.157,17,NA,0.338,0.24,NA,3,0,iguodan01
Joe Ingles,SF,34,UTA,45,1122,0.404,21.3,NA,0.211,0.039,0.147,0.014,0.011,0.789,NA,0.617,0.818,0.619,0.25,0.333,0.347,NA,0.595,0.756,NA,0,0,NA,0.187,0.405,NA,0,0,inglejo01
Brandon Ingram,SF,24,NOP,55,1869,0.461,14.6,NA,0.77,0.14,0.152,0.249,0.229,0.23,NA,0.501,0.681,0.436,0.506,0.427,0.327,NA,0.401,0.892,NA,0.045,39,NA,0.133,0.4,NA,3,1,ingrabr01
Kyrie Irving,PG,29,BRK,29,1091,0.469,16.5,NA,0.612,0.093,0.188,0.203,0.128,0.388,NA,0.501,0.702,0.543,0.432,0.405,0.418,NA,0.233,0.59,NA,0.002,1,NA,0.146,0.429,NA,0,0,irvinky01
Wes Iwundu,SF,27,ATL,3,82,0.444,12.3,NA,0.722,0.278,0.167,0.111,0.167,0.278,NA,0.385,0.4,0.333,0,0.667,0.6,NA,0.6,0.667,NA,0,0,NA,0.6,0.333,NA,0,0,iwundwe01
Frank Jackson,PG,23,DET,53,1164,0.402,17.4,NA,0.422,0.166,0.159,0.068,0.029,0.578,NA,0.529,0.725,0.338,0.515,0.5,0.308,NA,0.676,0.942,NA,0.01,5,NA,0.33,0.402,NA,0,0,jacksfr01
Isaiah Jackson,PF,20,IND,36,541,0.563,5,NA,0.922,0.621,0.218,0.053,0.029,0.078,NA,0.584,0.68,0.444,0.182,0.333,0.313,NA,0.757,1,NA,0.248,46,NA,0.063,1,NA,0,0,jacksis01
Jaren Jackson Jr.,PF,22,MEM,78,2126,0.415,13.1,NA,0.613,0.218,0.335,0.055,0.005,0.387,NA,0.476,0.615,0.395,0.421,0.4,0.319,NA,0.563,0.984,NA,0.051,46,NA,0.175,0.257,NA,1,0,jacksja02
Reggie Jackson,SG,31,LAC,75,2337,0.392,16.3,NA,0.581,0.145,0.19,0.106,0.14,0.419,NA,0.439,0.627,0.444,0.354,0.304,0.326,NA,0.205,0.587,NA,0.011,10,NA,0.186,0.358,NA,2,0,jacksre01
LeBron James,PF,37,LAL,56,2084,0.524,13.8,NA,0.633,0.325,0.141,0.073,0.094,0.367,NA,0.62,0.796,0.465,0.382,0.426,0.359,NA,0.407,0.559,NA,0.07,85,NA,0.074,0.303,NA,0,0,jamesle01
DeJon Jarreau,SG,24,IND,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,jarrede01
DaQuan Jeffries,SG,24,MEM,3,9,0.5,12.1,NA,0.5,0.5,0,0,0,0.5,NA,1,1,NA,NA,NA,0,NA,1,NA,NA,0.5,1,NA,1,0,NA,0,0,jeffrda01
Ty Jerome,SG,24,OKC,48,801,0.378,18.3,NA,0.433,0.07,0.235,0.113,0.015,0.567,NA,0.493,0.478,0.481,0.568,0.2,0.29,NA,0.3,0.796,NA,0,0,NA,0.161,0.433,NA,1,0,jeromty01
Isaiah Joe,SG,22,PHI,55,609,0.35,22.2,NA,0.237,0.079,0.034,0.045,0.079,0.763,NA,0.405,0.643,0.333,0.375,0.214,0.333,NA,0.647,1,NA,0.023,4,NA,0.296,0.4,NA,1,0,joeis01
B.J. Johnson,SF,26,ORL,4,65,0.44,16.9,NA,0.6,0.2,0.08,0.12,0.2,0.4,NA,0.467,0.4,0,0.667,0.6,0.4,NA,0.714,1,NA,0.04,1,NA,0.2,0.5,NA,0,0,johnsbj01
Cameron Johnson,PF,25,PHO,66,1730,0.46,18.6,NA,0.356,0.127,0.147,0.041,0.041,0.644,NA,0.523,0.766,0.483,0.24,0.2,0.425,NA,0.673,0.976,NA,0.035,19,NA,0.368,0.465,NA,1,0,johnsca02
David Johnson,SG,20,TOR,2,2,0,26.1,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,johnsda08
Jalen Johnson,PF,20,ATL,22,120,0.537,10.8,NA,0.683,0.488,0.073,0.073,0.049,0.317,NA,0.679,0.95,0,0,0,0.231,NA,0.789,1,NA,0.244,10,NA,0.385,0.2,NA,0,0,johnsja05
James Johnson,PF,34,BRK,62,1191,0.469,9.4,NA,0.723,0.476,0.192,0.033,0.023,0.277,NA,0.545,0.651,0.39,0.2,0.143,0.271,NA,0.512,0.913,NA,0.091,25,NA,0.376,0.313,NA,0,0,johnsja01
Joe Johnson,SG,40,BOS,1,2,1,18.1,NA,1,0,0,0,1,0,NA,1,NA,NA,NA,1,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,johnsjo02
Keldon Johnson,SF,22,SAS,75,2392,0.466,13.4,NA,0.605,0.218,0.295,0.064,0.029,0.395,NA,0.51,0.645,0.45,0.369,0.414,0.398,NA,0.644,0.969,NA,0.028,25,NA,0.228,0.484,NA,1,0,johnske04
Stanley Johnson,PF,25,LAL,48,1094,0.466,13.7,NA,0.582,0.243,0.215,0.088,0.036,0.418,NA,0.575,0.738,0.37,0.682,0.444,0.314,NA,0.548,0.939,NA,0.008,2,NA,0.39,0.244,NA,0,0,johnsst04
Nikola Jokic,C,26,DEN,74,2476,0.583,10.2,NA,0.78,0.268,0.384,0.082,0.046,0.22,NA,0.652,0.776,0.606,0.565,0.467,0.337,NA,0.58,0.918,NA,0.025,31,NA,0.038,0.273,NA,3,0,jokicni01
Damian Jones,C,26,SAC,56,1017,0.658,7.4,NA,0.891,0.489,0.241,0.06,0.102,0.109,NA,0.696,0.877,0.469,0.438,0.519,0.345,NA,0.794,0.9,NA,0.252,57,NA,0.241,0.286,NA,1,0,jonesda03
Derrick Jones Jr.,PF,24,CHI,51,899,0.538,8.9,NA,0.687,0.549,0.128,0.005,0.005,0.313,NA,0.634,0.701,0.32,1,1,0.328,NA,0.706,1,NA,0.205,39,NA,0.672,0.39,NA,0,0,jonesde02
Herbert Jones,PF,23,NOP,78,2335,0.476,10.7,NA,0.707,0.413,0.205,0.016,0.073,0.293,NA,0.533,0.685,0.288,0.444,0.381,0.337,NA,0.631,1,NA,0.104,52,NA,0.521,0.341,NA,1,0,joneshe01
Jemerrio Jones,SF,26,LAL,2,15,0.667,2.7,NA,1,0.667,0.333,0,0,0,NA,0.667,1,0,NA,NA,NA,NA,0.5,NA,NA,0,0,NA,NA,NA,NA,0,0,jonesje01
Kai Jones,C,21,CHO,21,63,0.643,7.7,NA,0.857,0.5,0.214,0.071,0.071,0.143,NA,0.667,1,0.333,0,0,0.5,NA,0.875,1,NA,0.5,7,NA,0.5,1,NA,0,0,joneska01
Mason Jones,SG,23,LAL,4,51,0.467,10.5,NA,0.733,0.267,0.4,0.067,0,0.267,NA,0.545,0.75,0.5,0,NA,0.25,NA,0.667,0,NA,0,0,NA,0,NA,NA,0,0,jonesma05
Tre Jones,PG,22,SAS,69,1148,0.49,9.7,NA,0.85,0.307,0.307,0.201,0.035,0.15,NA,0.542,0.615,0.5,0.485,0.583,0.196,NA,0.455,0.8,NA,0.006,1,NA,0.451,0.217,NA,3,0,jonestr01
Tyus Jones,PG,25,MEM,73,1549,0.451,15.2,NA,0.629,0.1,0.241,0.243,0.045,0.371,NA,0.487,0.6,0.496,0.455,0.36,0.39,NA,0.367,0.838,NA,0,0,NA,0.21,0.395,NA,0,0,jonesty01
Cory Joseph,PG,30,DET,65,1600,0.445,14.7,NA,0.608,0.22,0.21,0.065,0.113,0.393,NA,0.465,0.614,0.429,0.346,0.311,0.414,NA,0.416,0.862,NA,0.003,0,NA,0.248,0.487,NA,2,0,josepco01
Frank Kaminsky,C,28,PHO,9,181,0.545,9.2,NA,0.773,0.303,0.394,0.061,0.015,0.227,NA,0.608,0.65,0.577,0.75,0,0.333,NA,0.71,1,NA,0.076,4,NA,0.067,0,NA,0,0,kaminfr01
Luke Kennard,SG,25,LAC,70,1919,0.449,20.8,NA,0.338,0.05,0.086,0.121,0.081,0.662,NA,0.449,0.625,0.455,0.416,0.385,0.449,NA,0.66,0.916,NA,0,0,NA,0.142,0.467,NA,0,0,kennalu01
George King,SF,28,DAL,4,19,0,19.6,NA,0.2,0,0.2,0,0,0.8,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0.75,0,NA,0,0,kingge03
Louis King,SF,22,SAC,10,104,0.319,20.1,NA,0.426,0.021,0.128,0.085,0.191,0.574,NA,0.35,1,0.333,0.25,0.333,0.296,NA,0.429,0.75,NA,0,0,NA,0.296,0.375,NA,0,0,kinglo02
Corey Kispert,SF,22,WAS,77,1801,0.455,18.1,NA,0.377,0.167,0.132,0.045,0.033,0.623,NA,0.629,0.791,0.515,0.565,0.353,0.35,NA,0.803,0.982,NA,0.025,12,NA,0.325,0.423,NA,0,0,kispeco01
Maxi Kleber,PF,30,DAL,59,1450,0.398,19.9,NA,0.28,0.164,0.051,0.04,0.025,0.72,NA,0.586,0.845,0.278,0.214,0.111,0.325,NA,0.845,0.988,NA,0.056,20,NA,0.231,0.322,NA,1,0,klebima01
Brandon Knight,PG,30,DAL,5,65,0.4,19.4,NA,0.32,0.28,0.04,0,0,0.68,NA,0.75,0.857,0,NA,NA,0.235,NA,0.667,0.75,NA,0,0,NA,0.118,0,NA,1,0,knighbr03
Nathan Knight,PF,24,MIN,37,267,0.511,5.7,NA,0.852,0.591,0.25,0.011,0,0.148,NA,0.547,0.673,0.273,0,NA,0.308,NA,0.707,1,NA,0.182,13,NA,0.308,0.5,NA,0,0,knighna01
John Konchar,SG,25,MEM,72,1292,0.515,14.3,NA,0.519,0.332,0.092,0.053,0.042,0.481,NA,0.61,0.736,0.458,0.429,0.182,0.413,NA,0.614,0.923,NA,0.08,18,NA,0.46,0.448,NA,0,0,konchjo01
Furkan Korkmaz,SG,24,PHI,67,1414,0.387,17.4,NA,0.434,0.187,0.149,0.047,0.051,0.566,NA,0.515,0.739,0.314,0.5,0.292,0.289,NA,0.524,0.87,NA,0.021,8,NA,0.199,0.283,NA,2,0,korkmfu01
Vit Krejci,SG,21,OKC,30,690,0.407,17.5,NA,0.413,0.102,0.257,0.012,0.042,0.587,NA,0.522,0.824,0.442,0,0.429,0.327,NA,0.556,0.906,NA,0.03,5,NA,0.194,0.474,NA,1,0,krejcvi01
Arnoldas Kulboka,SF,24,CHO,2,5,0,23.4,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,1,0,NA,0,0,kulboar01
Jonathan Kuminga,SF,19,GSW,70,1185,0.513,11,NA,0.676,0.341,0.276,0.043,0.015,0.324,NA,0.598,0.771,0.433,0.4,0.286,0.336,NA,0.608,1,NA,0.172,74,NA,0.349,0.25,NA,2,0,kuminjo01
Kyle Kuzma,PF,26,WAS,66,2204,0.452,14.8,NA,0.599,0.167,0.26,0.108,0.065,0.401,NA,0.526,0.744,0.498,0.386,0.311,0.341,NA,0.492,0.883,NA,0.024,19,NA,0.227,0.329,NA,1,0,kuzmaky01
Anthony Lamb,SF,24,SAS,2,8,0,27.1,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,lamban01
Jock Landale,C,26,SAS,54,589,0.495,13.3,NA,0.564,0.368,0.152,0.025,0.02,0.436,NA,0.626,0.707,0.484,0.2,0.75,0.326,NA,0.708,1,NA,0.118,23,NA,0.225,0.4,NA,1,0,landajo01
Zach LaVine,SG,26,CHI,67,2328,0.476,15.2,NA,0.599,0.264,0.103,0.086,0.147,0.401,NA,0.534,0.7,0.451,0.343,0.408,0.389,NA,0.35,0.568,NA,0.055,62,NA,0.139,0.53,NA,0,0,lavinza01
Jake Layman,SF,27,MIN,34,231,0.411,14.4,NA,0.521,0.301,0.123,0.055,0.041,0.479,NA,0.579,0.773,0.222,0.25,0.667,0.229,NA,0.682,1,NA,0.096,6,NA,0.486,0.235,NA,0,0,laymaja01
Damion Lee,SG,29,GSW,63,1256,0.441,16.4,NA,0.512,0.188,0.146,0.091,0.086,0.488,NA,0.541,0.833,0.429,0.343,0.303,0.337,NA,0.736,0.984,NA,0.005,2,NA,0.396,0.324,NA,2,0,leeda03
Saben Lee,PG,22,DET,37,604,0.39,11.2,NA,0.661,0.379,0.232,0.04,0.011,0.339,NA,0.47,0.597,0.341,0.143,0,0.233,NA,0.455,0.786,NA,0.051,7,NA,0.233,0.214,NA,0,0,leesa01
Alex Len,C,28,SAC,39,620,0.534,7,NA,0.881,0.415,0.335,0.125,0.006,0.119,NA,0.568,0.712,0.441,0.455,0,0.286,NA,0.773,1,NA,0.17,26,NA,0.286,0.333,NA,0,0,lenal01
Kira Lewis Jr.,PG,20,NOP,24,341,0.404,14.8,NA,0.603,0.267,0.171,0.103,0.062,0.397,NA,0.523,0.718,0.4,0.333,0.333,0.224,NA,0.457,0.846,NA,0.027,3,NA,0.241,0.286,NA,3,0,lewiski01
Scottie Lewis,SG,21,CHO,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,lewissc01
Damian Lillard,PG,31,POR,29,1056,0.402,17.9,NA,0.486,0.239,0.071,0.074,0.101,0.514,NA,0.485,0.561,0.308,0.439,0.464,0.324,NA,0.192,0.446,NA,0.005,2,NA,0.056,0.375,NA,0,0,lillada01
Nassir Little,SF,21,POR,42,1088,0.46,14.9,NA,0.511,0.283,0.14,0.038,0.051,0.489,NA,0.584,0.742,0.386,0.333,0.438,0.331,NA,0.691,0.922,NA,0.114,32,NA,0.279,0.372,NA,0,0,littlna01
Isaiah Livers,SF,23,DET,19,383,0.456,20.1,NA,0.289,0.111,0.078,0.033,0.067,0.711,NA,0.538,0.8,0.429,0.667,0.167,0.422,NA,0.643,0.963,NA,0.011,1,NA,0.406,0.423,NA,0,0,liveris01
Kevon Looney,C,25,GSW,82,1732,0.571,4.6,NA,0.997,0.541,0.308,0.066,0.082,0.003,NA,0.573,0.675,0.554,0.292,0.2,0,NA,0.736,NA,NA,0.239,83,NA,0,NA,NA,0,0,looneke01
Brook Lopez,C,33,MIL,13,298,0.466,13.2,NA,0.595,0.298,0.198,0.084,0.015,0.405,NA,0.538,0.821,0.346,0.091,0,0.358,NA,0.714,0.947,NA,0.122,15,NA,0.34,0.5,NA,0,0,lopezbr01
Robin Lopez,C,33,ORL,36,612,0.553,6.2,NA,0.97,0.281,0.618,0.055,0.015,0.03,NA,0.56,0.714,0.512,0.364,0.333,0.333,NA,0.519,1,NA,0.035,7,NA,0.167,1,NA,1,0,lopezro01
Kevin Love,C,33,CLE,74,1665,0.43,19.7,NA,0.373,0.113,0.1,0.084,0.076,0.627,NA,0.493,0.709,0.461,0.391,0.328,0.392,NA,0.571,0.936,NA,0.008,5,NA,0.17,0.358,NA,1,0,loveke01
Kyle Lowry,PG,35,MIA,63,2133,0.44,19.8,NA,0.391,0.121,0.091,0.091,0.088,0.609,NA,0.539,0.711,0.456,0.456,0.473,0.377,NA,0.303,0.653,NA,0,0,NA,0.147,0.446,NA,4,0,lowryky01
Gabriel Lundberg,SG,27,PHO,4,44,0.263,19.3,NA,0.579,0.158,0.053,0,0.368,0.421,NA,0.182,0,0,NA,0.286,0.375,NA,0,0.667,NA,0,0,NA,0,NA,NA,0,0,lundbga01
Timothé Luwawu-Cabarrot,SF,26,ATL,52,685,0.398,17.5,NA,0.344,0.22,0.07,0.038,0.016,0.656,NA,0.469,0.512,0.385,0.429,0.333,0.361,NA,0.7,0.977,NA,0.032,6,NA,0.459,0.464,NA,0,0,luwawti01
Théo Maledon,PG,20,OKC,51,908,0.375,15.3,NA,0.527,0.117,0.334,0.054,0.022,0.473,NA,0.449,0.514,0.462,0.294,0.286,0.293,NA,0.453,0.864,NA,0.003,1,NA,0.18,0.222,NA,0,0,maledth01
Sandro Mamukelashvili,PF,22,MIL,41,407,0.496,13.3,NA,0.548,0.409,0.104,0.026,0.009,0.452,NA,0.556,0.638,0.25,0.667,0,0.423,NA,0.629,1,NA,0.087,8,NA,0.25,0.308,NA,0,0,mamuksa01
Terance Mann,SF,25,LAC,81,2317,0.484,12.3,NA,0.699,0.313,0.18,0.138,0.068,0.301,NA,0.535,0.69,0.46,0.4,0.298,0.365,NA,0.519,0.842,NA,0.099,56,NA,0.389,0.358,NA,5,0,mannte01
Tre Mann,PG,20,OKC,60,1367,0.393,16.7,NA,0.537,0.102,0.264,0.094,0.078,0.463,NA,0.421,0.533,0.394,0.418,0.37,0.36,NA,0.286,0.663,NA,0.014,6,NA,0.143,0.436,NA,4,0,manntr01
Boban Marjanović,C,33,DAL,23,128,0.6,7,NA,0.943,0.329,0.414,0.171,0.029,0.057,NA,0.621,0.783,0.552,0.417,1,0.25,NA,0.732,1,NA,0.129,9,NA,0,NA,NA,0,0,marjabo01
Lauri Markkanen,SF,24,CLE,61,1878,0.445,16.5,NA,0.459,0.226,0.144,0.061,0.028,0.541,NA,0.548,0.679,0.446,0.326,0.5,0.358,NA,0.684,0.993,NA,0.081,52,NA,0.2,0.342,NA,0,0,markkla01
Naji Marshall,SF,24,NOP,55,735,0.405,12.8,NA,0.61,0.32,0.193,0.071,0.026,0.39,NA,0.537,0.581,0.538,0.526,0,0.2,NA,0.557,0.81,NA,0.063,14,NA,0.343,0.139,NA,0,0,marshna01
Caleb Martin,SF,26,MIA,60,1372,0.507,12.6,NA,0.622,0.373,0.146,0.034,0.068,0.378,NA,0.565,0.739,0.25,0.143,0.5,0.413,NA,0.604,0.906,NA,0.107,36,NA,0.452,0.4,NA,1,0,martica02
Cody Martin,SF,26,CHO,71,1866,0.482,12.1,NA,0.624,0.39,0.137,0.045,0.052,0.376,NA,0.542,0.679,0.345,0.316,0.227,0.384,NA,0.636,0.885,NA,0.092,34,NA,0.597,0.379,NA,1,0,martico01
Kenyon Martin Jr.,SF,21,HOU,79,1656,0.533,9.8,NA,0.679,0.455,0.222,0.002,0,0.321,NA,0.617,0.739,0.371,0,NA,0.357,NA,0.735,1,NA,0.256,114,NA,0.274,0.283,NA,0,0,martike04
Garrison Mathews,SG,25,HOU,65,1712,0.399,22.5,NA,0.163,0.104,0.041,0.009,0.009,0.837,NA,0.6,0.771,0.316,0.25,0.25,0.36,NA,0.756,0.978,NA,0.024,10,NA,0.244,0.33,NA,0,0,mathega01
Dakota Mathias,SG,26,MEM,6,16,0.333,25.1,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0.333,NA,NA,1,NA,0,0,NA,0.167,1,NA,0,0,mathida01
Wesley Matthews,SG,35,MIL,49,1002,0.395,19.1,NA,0.286,0.155,0.091,0.041,0,0.714,NA,0.54,0.676,0.4,0.333,NA,0.338,NA,0.647,0.981,NA,0,0,NA,0.382,0.367,NA,0,0,matthwe02
Tyrese Maxey,PG,21,PHI,75,2650,0.485,12.9,NA,0.689,0.258,0.237,0.121,0.073,0.311,NA,0.512,0.654,0.466,0.317,0.479,0.427,NA,0.45,0.712,NA,0.017,14,NA,0.181,0.589,NA,2,0,maxeyty01
Skylar Mays,SG,24,ATL,28,220,0.5,12.1,NA,0.609,0.422,0.109,0.016,0.063,0.391,NA,0.615,0.667,0.429,0,0.75,0.32,NA,0.417,1,NA,0.031,2,NA,0.36,0.222,NA,0,0,mayssk01
Miles McBride,PG,21,NYK,40,372,0.296,19.1,NA,0.37,0.139,0.093,0.019,0.12,0.63,NA,0.375,0.6,0.2,0,0.308,0.25,NA,0.267,0.765,NA,0.009,0,NA,0.25,0.353,NA,0,0,mcbrimi01
T.J. McConnell,PG,29,IND,27,652,0.481,10,NA,0.841,0.274,0.332,0.173,0.063,0.159,NA,0.514,0.561,0.565,0.417,0.308,0.303,NA,0.256,0.9,NA,0,0,NA,0.333,0.273,NA,2,0,mccontj01
Jaden McDaniels,PF,21,MIN,70,1803,0.46,13.8,NA,0.545,0.283,0.179,0.054,0.029,0.455,NA,0.579,0.726,0.364,0.533,0.563,0.317,NA,0.72,0.988,NA,0.101,46,NA,0.496,0.36,NA,1,0,mcdanja02
Jalen McDaniels,SF,24,CHO,55,895,0.484,13.4,NA,0.575,0.283,0.224,0.051,0.016,0.425,NA,0.562,0.75,0.386,0.231,0.75,0.38,NA,0.61,1,NA,0.075,17,NA,0.38,0.341,NA,1,0,mcdanja01
