Player,Pos,Age,Tm,G,MP,FG%,Dist.,...9, at 2P,at 0-3ft, at 3-10ft,at 10-16ft,at 16ft-3P, at 3P,...16,2P%,0-3ft%,3-10ft%,10-16ft%,16ft-3P%,3P%,...23,% at 2P AST'd,% at 3P AST'd,...26,% of Dunk FGA,Dunks,% of Corner 3PA,Corner 3P%,...31,Heaves Att.,Heaves,...34,...35
Doug McDermott,PF,30,SAS,51,1223,0.462,16.6,NA,0.449,0.176,0.185,0.06,0.028,0.551,NA,0.512,0.646,0.395,0.464,0.538,0.422,NA,0.85,0.991,NA,0.011,5,NA,0.188,0.542,NA,0,0,mcderdo01
JaVale McGee,C,34,PHO,74,1172,0.629,4.3,NA,0.98,0.535,0.371,0.052,0.022,0.02,NA,0.637,0.706,0.588,0.375,0.4,0.222,NA,0.692,1,NA,0.229,100,NA,0,NA,NA,0,0,mcgeeja01
Cameron McGriff,SF,24,POR,3,46,0.357,13,NA,0.571,0.357,0.143,0,0.071,0.429,NA,0.375,0.4,0.5,NA,0,0.333,NA,0.667,0,NA,0,0,NA,0.333,0,NA,0,0,mcgrica01
Rodney McGruder,SG,30,DET,51,754,0.436,18.2,NA,0.351,0.169,0.12,0.044,0.018,0.649,NA,0.506,0.605,0.37,0.4,0.75,0.397,NA,0.65,1,NA,0.009,1,NA,0.459,0.418,NA,1,0,mcgruro01
Alfonzo McKinnie,SF,29,CHI,17,206,0.393,14.1,NA,0.557,0.311,0.082,0.082,0.082,0.443,NA,0.441,0.526,0.6,0,0.4,0.333,NA,0.733,1,NA,0.148,7,NA,0.407,0.364,NA,0,0,mckinal01
JaQuori McLaughlin,PG,24,DAL,4,11,0,21.9,NA,0.5,0,0,0,0.5,0.5,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,1,0,NA,0,0,mclauja01
Jordan McLaughlin,PG,25,MIN,62,902,0.44,13.3,NA,0.575,0.29,0.23,0.05,0.005,0.425,NA,0.53,0.707,0.326,0.4,1,0.318,NA,0.492,0.852,NA,0.015,3,NA,0.365,0.516,NA,3,0,mclaujo01
Ben McLemore,SG,28,POR,64,1285,0.401,21.9,NA,0.226,0.091,0.033,0.006,0.096,0.774,NA,0.533,0.694,0.389,0.333,0.442,0.362,NA,0.846,0.967,NA,0.017,8,NA,0.309,0.488,NA,2,0,mclembe01
De'Anthony Melton,SG,23,MEM,73,1657,0.404,17.2,NA,0.465,0.167,0.164,0.068,0.066,0.535,NA,0.44,0.595,0.368,0.383,0.283,0.374,NA,0.472,0.856,NA,0.037,21,NA,0.156,0.5,NA,3,0,meltode01
Sam Merrill,SG,25,MEM,6,58,0.333,24.4,NA,0.042,0.042,0,0,0,0.958,NA,1,1,NA,NA,NA,0.304,NA,1,0.714,NA,0,0,NA,0.217,0.2,NA,0,0,merrisa01
Chimezie Metu,C,24,SAC,60,1279,0.452,14,NA,0.586,0.229,0.223,0.085,0.049,0.414,NA,0.555,0.718,0.49,0.368,0.409,0.306,NA,0.74,0.965,NA,0.167,63,NA,0.301,0.304,NA,0,0,metuch01
Khris Middleton,SF,30,MIL,66,2141,0.443,17.3,NA,0.575,0.104,0.14,0.189,0.142,0.425,NA,0.494,0.736,0.406,0.503,0.393,0.373,NA,0.331,0.63,NA,0.008,6,NA,0.111,0.375,NA,0,0,middlkh01
C.J. Miles,SG,34,BOS,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,milescj01
Patty Mills,SG,33,BRK,81,2346,0.408,21.4,NA,0.285,0.064,0.037,0.065,0.118,0.715,NA,0.429,0.745,0.207,0.365,0.362,0.4,NA,0.619,0.925,NA,0,0,NA,0.257,0.397,NA,3,0,millspa02
Shake Milton,SG,25,PHI,55,1179,0.429,13.4,NA,0.67,0.199,0.278,0.136,0.057,0.33,NA,0.481,0.7,0.402,0.4,0.304,0.323,NA,0.369,0.93,NA,0.005,1,NA,0.233,0.355,NA,1,0,miltosh01
Davion Mitchell,PG,23,SAC,75,2076,0.418,15.6,NA,0.62,0.189,0.154,0.108,0.17,0.38,NA,0.48,0.642,0.438,0.352,0.42,0.316,NA,0.231,0.663,NA,0.004,3,NA,0.119,0.342,NA,4,0,mitchda01
Donovan Mitchell,SG,25,UTA,67,2266,0.448,16.7,NA,0.525,0.14,0.236,0.077,0.072,0.475,NA,0.533,0.708,0.465,0.519,0.434,0.355,NA,0.177,0.483,NA,0.018,21,NA,0.09,0.356,NA,2,0,mitchdo01
Evan Mobley,PF,20,CLE,69,2331,0.508,8.4,NA,0.889,0.364,0.307,0.143,0.075,0.111,NA,0.541,0.758,0.38,0.445,0.323,0.25,NA,0.652,0.957,NA,0.198,151,NA,0.228,0.333,NA,1,0,mobleev01
Malik Monk,SG,23,LAL,76,2139,0.473,16.3,NA,0.465,0.229,0.162,0.034,0.04,0.535,NA,0.568,0.725,0.448,0.393,0.303,0.391,NA,0.546,0.832,NA,0.069,54,NA,0.172,0.395,NA,0,0,monkma01
Moses Moody,SG,19,GSW,52,607,0.437,17.5,NA,0.399,0.213,0.082,0.049,0.055,0.601,NA,0.548,0.641,0.467,0.667,0.2,0.364,NA,0.7,1,NA,0.06,11,NA,0.336,0.243,NA,0,0,moodymo01
Xavier Moon,SG,27,LAC,10,137,0.49,16.4,NA,0.725,0.098,0.137,0.176,0.314,0.275,NA,0.541,0.4,0.286,0.556,0.688,0.357,NA,0.15,0.6,NA,0,0,NA,0.071,0,NA,0,0,moonxa01
Matt Mooney,SG,24,NYK,1,2,0,25.1,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,moonema01
Ja Morant,PG,22,MEM,57,1889,0.493,10.3,NA,0.782,0.332,0.291,0.135,0.025,0.218,NA,0.534,0.706,0.433,0.384,0.241,0.344,NA,0.248,0.511,NA,0.057,58,NA,0.09,0.391,NA,3,0,moranja01
Jaylen Morris,SG,26,SAS,3,16,0,11.6,NA,0.667,0.5,0.167,0,0,0.333,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,0.167,0,NA,0,NA,NA,0,0,morrija01
Marcus Morris,PF,32,LAC,54,1564,0.434,17.6,NA,0.602,0.046,0.145,0.24,0.171,0.398,NA,0.478,0.688,0.49,0.47,0.424,0.367,NA,0.327,0.901,NA,0.001,0,NA,0.215,0.373,NA,2,0,morrima03
Markieff Morris,PF,32,MIA,17,298,0.474,14.8,NA,0.658,0.14,0.175,0.228,0.114,0.342,NA,0.547,0.75,0.45,0.5,0.538,0.333,NA,0.512,1,NA,0.044,4,NA,0.487,0.368,NA,0,0,morrima02
Monte Morris,PG,26,DEN,75,2239,0.484,16.1,NA,0.594,0.155,0.137,0.132,0.169,0.406,NA,0.545,0.725,0.491,0.49,0.466,0.395,NA,0.472,0.935,NA,0,0,NA,0.328,0.398,NA,0,0,morrimo01
Emmanuel Mudiay,PG,25,SAC,2,11,0,13,NA,1,0,0,1,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,mudiaem01
Ade Murkey,SG,24,SAC,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,murkead01
Trey Murphy III,SF,21,NOP,62,864,0.394,18.5,NA,0.329,0.199,0.087,0.018,0.025,0.671,NA,0.418,0.582,0.167,0.2,0.143,0.382,NA,0.579,0.972,NA,0.072,17,NA,0.392,0.466,NA,1,0,murphtr02
Dejounte Murray,PG,25,SAS,68,2366,0.462,12.7,NA,0.763,0.214,0.206,0.226,0.116,0.237,NA,0.504,0.665,0.418,0.456,0.451,0.327,NA,0.189,0.698,NA,0.019,23,NA,0.17,0.28,NA,0,0,murrade01
Mike Muscala,C,30,OKC,43,592,0.456,19.6,NA,0.343,0.129,0.097,0.089,0.028,0.657,NA,0.506,0.688,0.458,0.318,0.429,0.429,NA,0.814,1,NA,0.036,9,NA,0.178,0.345,NA,0,0,muscami01
Svi Mykhailiuk,SF,24,TOR,56,716,0.389,17,NA,0.427,0.218,0.098,0.06,0.051,0.573,NA,0.5,0.588,0.522,0.286,0.333,0.306,NA,0.54,0.951,NA,0.038,7,NA,0.299,0.4,NA,0,0,mykhasv01
Abdel Nader,SF,28,PHO,14,145,0.343,12.9,NA,0.6,0.314,0.286,0,0,0.4,NA,0.381,0.727,0,NA,NA,0.286,NA,0.5,1,NA,0.029,1,NA,0.357,0.2,NA,1,0,naderab01
RJ Nembhard Jr.,SG,22,CLE,14,63,0.333,8,NA,0.889,0.389,0.333,0.111,0.056,0.111,NA,0.375,0.857,0,0,0,0,NA,0.5,NA,NA,0,0,NA,0,NA,NA,0,0,nembhrj01
Aaron Nesmith,SF,22,BOS,52,574,0.396,18.4,NA,0.368,0.126,0.154,0.033,0.055,0.632,NA,0.612,0.87,0.464,0.167,0.7,0.27,NA,0.805,0.935,NA,0.027,5,NA,0.383,0.205,NA,0,0,nesmiaa01
Raul Neto,PG,29,WAS,70,1372,0.463,12,NA,0.728,0.231,0.313,0.159,0.025,0.272,NA,0.526,0.667,0.449,0.471,0.545,0.292,NA,0.331,0.686,NA,0,0,NA,0.142,0.294,NA,2,0,netora01
Malik Newman,PG,24,CLE,1,8,0.6,14.8,NA,0.8,0.2,0,0.4,0.2,0.2,NA,0.75,1,NA,1,0,0,NA,0.667,NA,NA,0,0,NA,0,NA,NA,0,0,newmama01
Georges Niang,PF,28,PHI,76,1736,0.437,19.1,NA,0.313,0.119,0.153,0.032,0.009,0.687,NA,0.511,0.627,0.465,0.389,0.2,0.403,NA,0.711,0.981,NA,0.004,2,NA,0.305,0.39,NA,1,0,niangge01
Daishen Nix,SG,19,HOU,24,261,0.403,12.7,NA,0.612,0.358,0.239,0,0.015,0.388,NA,0.488,0.667,0.25,NA,0,0.269,NA,0.4,0.714,NA,0.045,3,NA,0.154,0.25,NA,1,0,nixda01
Zeke Nnaji,PF,21,DEN,41,698,0.516,13.1,NA,0.57,0.355,0.156,0.005,0.054,0.43,NA,0.557,0.727,0.241,0,0.4,0.463,NA,0.576,0.946,NA,0.124,20,NA,0.425,0.5,NA,0,0,nnajize01
Nerlens Noel,C,27,NYK,25,562,0.533,5.9,NA,0.95,0.533,0.25,0.167,0,0.05,NA,0.561,0.563,0.533,0.6,NA,0,NA,0.75,NA,NA,0.117,3,NA,0.667,0,NA,1,0,noelne01
Jaylen Nowell,SG,22,MIN,62,975,0.475,14.1,NA,0.613,0.203,0.225,0.143,0.041,0.387,NA,0.526,0.679,0.43,0.508,0.353,0.394,NA,0.429,0.778,NA,0.022,8,NA,0.169,0.407,NA,2,0,nowelja01
Frank Ntilikina,SG,23,DAL,58,685,0.399,17.5,NA,0.502,0.117,0.157,0.094,0.135,0.498,NA,0.455,0.462,0.429,0.429,0.5,0.342,NA,0.529,0.895,NA,0.013,1,NA,0.315,0.343,NA,1,0,ntilila01
Jusuf Nurkić,C,27,POR,56,1579,0.535,5.9,NA,0.907,0.49,0.35,0.03,0.037,0.093,NA,0.563,0.653,0.481,0.278,0.364,0.268,NA,0.627,0.933,NA,0.062,35,NA,0.018,1,NA,0,0,nurkiju01
David Nwaba,SF,29,HOU,46,609,0.483,9,NA,0.722,0.511,0.193,0.017,0,0.278,NA,0.551,0.656,0.294,0.333,NA,0.306,NA,0.543,1,NA,0.125,22,NA,0.408,0.3,NA,0,0,nwabada01
Jordan Nwora,SF,23,MIL,62,1185,0.403,16.8,NA,0.509,0.188,0.13,0.097,0.093,0.491,NA,0.455,0.667,0.35,0.333,0.302,0.348,NA,0.617,0.747,NA,0.03,10,NA,0.295,0.343,NA,0,0,nworajo01
Royce O'Neale,SF,28,UTA,77,2406,0.457,18.7,NA,0.311,0.194,0.106,0.011,0,0.689,NA,0.609,0.686,0.532,0,NA,0.389,NA,0.679,0.983,NA,0.025,10,NA,0.307,0.383,NA,1,0,onealro01
Chuma Okeke,PF,23,ORL,70,1749,0.376,18.6,NA,0.355,0.137,0.139,0.045,0.033,0.645,NA,0.48,0.658,0.413,0.346,0.211,0.318,NA,0.531,0.966,NA,0.054,29,NA,0.24,0.382,NA,0,0,okekech01
Josh Okogie,SG,23,MIN,49,516,0.404,12.3,NA,0.548,0.365,0.173,0.01,0,0.452,NA,0.491,0.526,0.444,0,NA,0.298,NA,0.607,1,NA,0.115,9,NA,0.468,0.182,NA,0,0,okogijo01
Onyeka Okongwu,C,21,ATL,48,992,0.69,2.7,NA,1,0.677,0.296,0.027,0,0,NA,0.69,0.765,0.522,0.667,NA,NA,NA,0.795,NA,NA,0.274,59,NA,NA,NA,NA,0,0,okongon01
Isaac Okoro,SF,21,CLE,67,1981,0.48,10.4,NA,0.636,0.487,0.123,0.009,0.016,0.364,NA,0.555,0.648,0.264,0.25,0.143,0.35,NA,0.717,0.945,NA,0.09,36,NA,0.732,0.348,NA,0,0,okorois01
KZ Okpala,PF,22,MIA,21,244,0.435,12,NA,0.623,0.319,0.232,0.058,0.014,0.377,NA,0.488,0.545,0.5,0.25,0,0.346,NA,0.762,1,NA,0.101,7,NA,0.615,0.5,NA,0,0,okpalkz01
Victor Oladipo,SG,29,MIA,8,173,0.479,16.9,NA,0.507,0.247,0.096,0.082,0.082,0.493,NA,0.541,0.667,0.286,0.667,0.333,0.417,NA,0.25,0.467,NA,0.027,2,NA,0.139,0.8,NA,1,0,oladivi01
Cameron Oliver,SF,25,ATL,2,43,0.667,7.8,NA,0.8,0.6,0.133,0,0.067,0.2,NA,0.75,0.667,1,NA,1,0.333,NA,0.778,1,NA,0.067,1,NA,0.333,0,NA,0,0,oliveca01
Kelly Olynyk,C,30,DET,40,764,0.448,14.2,NA,0.584,0.301,0.175,0.045,0.063,0.416,NA,0.527,0.64,0.38,0.385,0.5,0.336,NA,0.625,0.875,NA,0.052,11,NA,0.017,0.5,NA,1,0,olynyke01
Eugene Omoruyi,SF,24,DAL,4,18,0.4,17.7,NA,0.6,0,0.2,0.2,0.2,0.4,NA,0.333,NA,1,0,0,0.5,NA,0,1,NA,0,0,NA,0.5,0,NA,0,0,omorueu01
Miye Oni,SG,24,UTA,16,44,0.222,21.8,NA,0.111,0.111,0,0,0,0.889,NA,1,1,NA,NA,NA,0.125,NA,0,1,NA,0,0,NA,0.625,0,NA,0,0,onimi01
Cedi Osman,SF,26,CLE,66,1462,0.432,17.9,NA,0.372,0.227,0.107,0.017,0.021,0.628,NA,0.559,0.654,0.443,0.2,0.417,0.357,NA,0.689,0.867,NA,0.014,8,NA,0.181,0.415,NA,1,0,osmande01
Daniel Oturu,C,22,TOR,3,27,0.5,6.8,NA,0.833,0.5,0.333,0,0,0.167,NA,0.6,0.667,0.5,NA,NA,0,NA,0.333,NA,NA,0,0,NA,0,NA,NA,0,0,oturuda01
Kelly Oubre Jr.,SF,26,CHO,76,1999,0.44,16.9,NA,0.407,0.231,0.121,0.042,0.013,0.593,NA,0.578,0.716,0.425,0.308,0.417,0.345,NA,0.612,0.932,NA,0.063,53,NA,0.313,0.335,NA,2,0,oubreke01
Jaysean Paige,PG,27,DET,1,7,0,23.7,NA,0.333,0,0,0,0.333,0.667,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,0,paigeja01
Trayvon Palmer,SG,27,DET,1,17,0,4,NA,1,0,1,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,palmetr01
Kevin Pangos,PG,29,CLE,24,166,0.326,17.8,NA,0.435,0.109,0.239,0.043,0.043,0.565,NA,0.45,0.6,0.364,0.5,0.5,0.231,NA,0.111,0.333,NA,0,0,NA,0.038,0,NA,0,0,pangoke01
Jabari Parker,PF,26,BOS,12,112,0.474,16.6,NA,0.579,0.211,0.184,0.026,0.158,0.421,NA,0.455,0.75,0.286,0,0.333,0.5,NA,0.6,0.875,NA,0.105,4,NA,0.375,0.5,NA,1,0,parkeja01
Eric Paschall,PF,25,UTA,58,736,0.485,13.4,NA,0.54,0.315,0.183,0.034,0.009,0.46,NA,0.583,0.649,0.512,0.25,1,0.37,NA,0.581,0.95,NA,0.094,17,NA,0.519,0.411,NA,2,0,pascher01
Chris Paul,PG,36,PHO,65,2139,0.493,16.4,NA,0.73,0.034,0.158,0.346,0.192,0.27,NA,0.559,0.72,0.543,0.592,0.482,0.317,NA,0.097,0.413,NA,0,0,NA,0.08,0.313,NA,3,0,paulch01
Cameron Payne,PG,27,PHO,58,1278,0.409,13.8,NA,0.641,0.187,0.3,0.112,0.041,0.359,NA,0.449,0.536,0.381,0.53,0.333,0.336,NA,0.183,0.634,NA,0.002,1,NA,0.085,0.222,NA,1,0,payneca01
Elfrid Payton,PG,27,PHO,50,549,0.383,8,NA,0.897,0.263,0.491,0.097,0.046,0.103,NA,0.401,0.5,0.372,0.353,0.25,0.222,NA,0.27,0.75,NA,0.029,4,NA,0.333,0,NA,0,0,paytoel01
Gary Payton II,SG,29,GSW,71,1247,0.616,10.4,NA,0.651,0.398,0.244,0.003,0.006,0.349,NA,0.754,0.825,0.655,0,0.5,0.358,NA,0.787,1,NA,0.18,55,NA,0.6,0.403,NA,1,0,paytoga02
Norvel Pelle,C,28,UTA,3,19,0.6,0.4,NA,1,1,0,0,0,0,NA,0.6,0.6,NA,NA,NA,NA,NA,0.667,NA,NA,0.4,2,NA,NA,NA,NA,0,0,pelleno01
Jamorko Pickett,PF,24,DET,13,176,0.36,21.1,NA,0.22,0.04,0.16,0,0.02,0.78,NA,0.455,0.5,0.5,NA,0,0.333,NA,0.8,0.923,NA,0.02,1,NA,0.359,0.357,NA,0,0,pickeja01
Theo Pinson,SF,26,DAL,19,148,0.359,21.9,NA,0.231,0.051,0.077,0.026,0.077,0.769,NA,0.444,0.5,0.333,0,0.667,0.333,NA,0.25,0.9,NA,0.026,1,NA,0.1,0.667,NA,0,0,pinsoth01
Mason Plumlee,C,31,CHO,73,1793,0.641,3.1,NA,0.994,0.681,0.266,0.044,0.003,0.006,NA,0.645,0.752,0.424,0.357,0,0,NA,0.776,NA,NA,0.375,108,NA,0,NA,NA,1,0,plumlma01
Jakob Poeltl,C,26,SAS,68,1970,0.618,4.7,NA,0.998,0.471,0.391,0.133,0.005,0.002,NA,0.618,0.747,0.514,0.477,0.333,1,NA,0.702,1,NA,0.072,44,NA,0,NA,NA,1,1,poeltja01
Aleksej Pokusevski,PF,20,OKC,61,1233,0.408,14.6,NA,0.568,0.2,0.248,0.07,0.05,0.432,NA,0.498,0.703,0.416,0.344,0.304,0.289,NA,0.535,0.947,NA,0.075,32,NA,0.203,0.325,NA,0,0,pokusal01
Yves Pons,SF,22,MEM,12,71,0.313,15,NA,0.438,0.25,0.125,0.063,0,0.563,NA,0.286,0.25,0,1,NA,0.333,NA,0,1,NA,0.313,1,NA,0.556,0.6,NA,0,0,ponsyv01
Jordan Poole,SG,22,GSW,76,2283,0.448,17.8,NA,0.452,0.142,0.182,0.066,0.061,0.548,NA,0.55,0.68,0.523,0.457,0.431,0.364,NA,0.414,0.706,NA,0.019,16,NA,0.16,0.355,NA,5,1,poolejo01
Kevin Porter Jr.,PG,21,HOU,61,1907,0.415,16.5,NA,0.489,0.203,0.157,0.058,0.071,0.511,NA,0.456,0.646,0.291,0.362,0.351,0.375,NA,0.267,0.516,NA,0.052,34,NA,0.107,0.477,NA,0,0,porteke02
Michael Porter Jr.,SF,23,DEN,9,265,0.359,17.2,NA,0.534,0.165,0.097,0.107,0.165,0.466,NA,0.491,0.706,0.3,0.273,0.529,0.208,NA,0.704,0.9,NA,0.019,2,NA,0.104,0,NA,1,0,portemi01
Otto Porter Jr.,PF,28,GSW,63,1396,0.464,16.7,NA,0.481,0.161,0.163,0.087,0.07,0.519,NA,0.565,0.746,0.515,0.444,0.414,0.37,NA,0.735,0.95,NA,0.029,11,NA,0.241,0.327,NA,0,0,porteot01
Bobby Portis,C,26,MIL,72,2028,0.479,14.5,NA,0.612,0.219,0.185,0.126,0.082,0.388,NA,0.533,0.644,0.497,0.455,0.437,0.393,NA,0.556,1,NA,0.037,24,NA,0.382,0.403,NA,2,0,portibo01
Micah Potter,C,23,DET,3,31,0.455,8.3,NA,0.818,0.364,0.273,0.182,0,0.182,NA,0.556,0.5,0.667,0.5,NA,0,NA,0.6,NA,NA,0,0,NA,0,NA,NA,0,0,pottemi01
Dwight Powell,C,30,DAL,82,1798,0.671,4.6,NA,0.908,0.708,0.16,0.02,0.02,0.092,NA,0.703,0.792,0.422,0.375,0.125,0.351,NA,0.855,1,NA,0.302,108,NA,0.216,0.625,NA,1,0,poweldw01
Myles Powell,PG,24,PHI,11,52,0.294,13.5,NA,0.647,0.353,0.176,0,0.118,0.353,NA,0.364,0.667,0,NA,0,0.167,NA,0,0,NA,0,0,NA,0,NA,NA,0,0,powelmy01
Joshua Primo,SF,19,SAS,50,965,0.374,15.9,NA,0.493,0.2,0.178,0.07,0.044,0.507,NA,0.444,0.611,0.375,0.263,0.25,0.307,NA,0.525,0.929,NA,0.033,8,NA,0.35,0.271,NA,1,0,primojo01
Taurean Prince,PF,27,MIN,69,1177,0.454,17.2,NA,0.413,0.174,0.138,0.062,0.038,0.587,NA,0.565,0.676,0.463,0.625,0.333,0.376,NA,0.692,0.942,NA,0.023,7,NA,0.402,0.446,NA,2,0,princta02
Payton Pritchard,PG,24,BOS,71,1001,0.429,20.6,NA,0.343,0.094,0.091,0.062,0.097,0.657,NA,0.461,0.629,0.353,0.478,0.389,0.412,NA,0.356,0.802,NA,0.003,1,NA,0.167,0.585,NA,0,0,pritcpa01
Trevelin Queen,SG,24,HOU,10,74,0.455,19.6,NA,0.273,0.242,0.03,0,0,0.727,NA,0.667,0.75,0,NA,NA,0.375,NA,0.5,0.556,NA,0.03,1,NA,0.167,0.5,NA,0,0,queentr01
Neemias Queta,C,22,SAC,14,120,0.447,5.4,NA,1,0.447,0.368,0.132,0.053,0,NA,0.447,0.529,0.5,0.2,0,NA,NA,0.647,NA,NA,0.158,5,NA,NA,NA,NA,0,0,quetane01
Immanuel Quickley,PG,22,NYK,78,1802,0.392,18.4,NA,0.453,0.09,0.167,0.13,0.066,0.547,NA,0.448,0.631,0.421,0.404,0.354,0.346,NA,0.299,0.526,NA,0.004,2,NA,0.104,0.39,NA,0,0,quickim01
Jahmi'us Ramsey,SG,20,SAC,19,134,0.414,12.4,NA,0.69,0.31,0.224,0.069,0.086,0.31,NA,0.475,0.667,0.231,0.25,0.6,0.278,NA,0.579,0.8,NA,0.034,2,NA,0.167,0.333,NA,0,0,ramseja01
Julius Randle,PF,27,NYK,72,2544,0.411,13.8,NA,0.687,0.254,0.152,0.137,0.144,0.313,NA,0.458,0.627,0.368,0.374,0.335,0.308,NA,0.362,0.8,NA,0.04,43,NA,0.115,0.289,NA,0,0,randlju01
Austin Reaves,SG,23,LAL,61,1418,0.459,16.6,NA,0.475,0.211,0.157,0.066,0.041,0.525,NA,0.616,0.746,0.56,0.571,0.231,0.317,NA,0.559,0.981,NA,0.019,6,NA,0.287,0.354,NA,3,0,reaveau01
Davon Reed,SG,26,DEN,48,668,0.503,18,NA,0.466,0.099,0.161,0.075,0.13,0.534,NA,0.587,0.688,0.5,0.583,0.619,0.43,NA,0.591,0.919,NA,0.025,2,NA,0.302,0.385,NA,0,0,reedda01
Paul Reed,C,22,PHI,38,302,0.563,5.4,NA,0.917,0.625,0.219,0.042,0.031,0.083,NA,0.591,0.767,0.19,0.25,0.333,0.25,NA,0.577,1,NA,0.24,22,NA,0.5,0,NA,1,0,reedpa01
Naz Reid,C,22,MIN,77,1215,0.489,10.6,NA,0.651,0.399,0.244,0.008,0,0.349,NA,0.568,0.684,0.379,0.5,NA,0.343,NA,0.625,0.982,NA,0.099,40,NA,0.229,0.474,NA,0,0,reidna01
Nick Richards,C,24,CHO,50,367,0.667,2.7,NA,1,0.689,0.278,0.033,0,0,NA,0.667,0.774,0.36,1,NA,NA,NA,0.783,NA,NA,0.4,30,NA,NA,NA,NA,0,0,richani01
Austin Rivers,SG,29,DEN,67,1480,0.417,17.9,NA,0.34,0.16,0.151,0.02,0.009,0.66,NA,0.563,0.75,0.453,0.143,0,0.342,NA,0.463,0.848,NA,0.006,2,NA,0.45,0.471,NA,0,0,riverau01
Duncan Robinson,SG,27,MIA,79,2043,0.399,22.7,NA,0.14,0.077,0.039,0.012,0.012,0.86,NA,0.569,0.679,0.393,0.556,0.444,0.372,NA,0.828,0.961,NA,0.003,2,NA,0.239,0.423,NA,0,0,robindu01
Mitchell Robinson,C,23,NYK,72,1848,0.761,1.2,NA,1,0.918,0.082,0,0,0,NA,0.761,0.781,0.536,NA,NA,NA,NA,0.517,NA,NA,0.583,178,NA,NA,NA,NA,0,0,robinmi01
Jeremiah Robinson-Earl,C,21,OKC,49,1087,0.414,15.3,NA,0.491,0.244,0.151,0.062,0.034,0.509,NA,0.478,0.608,0.429,0.2,0.273,0.352,NA,0.75,1,NA,0.056,15,NA,0.279,0.348,NA,0,0,robinje02
