Player,Pos,Age,Tm,G,MP,FG%,Dist.,...9, at 2P,at 0-3ft, at 3-10ft,at 10-16ft,at 16ft-3P, at 3P,...16,2P%,0-3ft%,3-10ft%,10-16ft%,16ft-3P%,3P%,...23,% at 2P AST'd,% at 3P AST'd,...26,% of Dunk FGA,Dunks,% of Corner 3PA,Corner 3P%,...31,Heaves Att.,Heaves,...34,...35
Isaiah Roby,PF,23,OKC,45,948,0.514,10.8,NA,0.693,0.319,0.328,0.031,0.015,0.307,NA,0.545,0.699,0.425,0.3,0.4,0.444,NA,0.689,0.909,NA,0.136,36,NA,0.273,0.481,NA,0,0,robyis01
Derrick Rose,PG,33,NYK,26,636,0.445,13.4,NA,0.664,0.245,0.23,0.088,0.102,0.336,NA,0.467,0.582,0.508,0.292,0.25,0.402,NA,0.259,0.757,NA,0,0,NA,0.185,0.353,NA,1,0,rosede01
Terrence Ross,SG,30,ORL,63,1448,0.397,18,NA,0.523,0.108,0.125,0.155,0.135,0.477,NA,0.493,0.7,0.435,0.523,0.347,0.292,NA,0.524,0.779,NA,0.023,10,NA,0.133,0.314,NA,4,0,rosste01
Terry Rozier,SG,27,CHO,73,2458,0.444,16.4,NA,0.492,0.181,0.165,0.082,0.064,0.508,NA,0.516,0.649,0.396,0.521,0.44,0.374,NA,0.439,0.838,NA,0.011,10,NA,0.364,0.403,NA,3,0,roziete01
Ricky Rubio,PG,31,CLE,34,970,0.363,15.4,NA,0.577,0.197,0.165,0.136,0.078,0.423,NA,0.38,0.481,0.294,0.375,0.313,0.339,NA,0.256,0.661,NA,0,0,NA,0.293,0.294,NA,2,0,rubiori01
D'Angelo Russell,PG,25,MIN,65,2077,0.411,18.2,NA,0.469,0.128,0.128,0.104,0.109,0.531,NA,0.492,0.696,0.392,0.465,0.396,0.34,NA,0.28,0.631,NA,0.008,5,NA,0.083,0.395,NA,3,0,russeda01
Matt Ryan,SF,24,BOS,1,5,0.2,25.6,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,1,NA,0,0,NA,0.4,0.5,NA,0,0,ryanma01
Olivier Sarr,C,22,OKC,22,421,0.574,10.8,NA,0.713,0.238,0.396,0.069,0.01,0.287,NA,0.625,0.667,0.575,0.857,0,0.448,NA,0.778,1,NA,0.267,19,NA,0.241,0.143,NA,0,0,sarrol01
Jordan Schakel,SG,23,WAS,4,30,0.091,17.8,NA,0.455,0.091,0.273,0,0.091,0.545,NA,0,0,0,NA,0,0.167,NA,NA,1,NA,0,0,NA,0.167,0,NA,0,0,schakjo01
Admiral Schofield,SF,24,ORL,38,469,0.419,17.6,NA,0.388,0.147,0.209,0.023,0.008,0.612,NA,0.56,0.632,0.481,0.667,1,0.329,NA,0.714,0.962,NA,0.023,1,NA,0.367,0.345,NA,2,0,schofad01
Tre Scott,SF,25,CLE,2,11,0.5,8.2,NA,0.833,0.5,0.167,0.167,0,0.167,NA,0.6,0.667,1,0,NA,0,NA,0.667,NA,NA,0,0,NA,0,NA,NA,0,0,scotttr01
Jay Scrubb,SG,21,LAC,18,121,0.391,16.2,NA,0.543,0.239,0.087,0.13,0.087,0.457,NA,0.48,0.545,0.5,0.5,0.25,0.286,NA,0.333,0.667,NA,0.043,1,NA,0.143,0.667,NA,0,0,scrubja01
Wayne Selden,SG,27,NYK,3,19,0.25,15.9,NA,0.5,0,0.5,0,0,0.5,NA,0,NA,0,NA,NA,0.5,NA,NA,1,NA,0,0,NA,0.5,0,NA,0,0,seldewa01
Alperen Şengün,C,19,HOU,72,1489,0.474,9,NA,0.777,0.429,0.297,0.042,0.01,0.223,NA,0.539,0.671,0.385,0.318,0.4,0.248,NA,0.436,0.966,NA,0.099,44,NA,0.085,0.2,NA,6,0,sengual01
Collin Sexton,SG,23,CLE,11,316,0.45,11.8,NA,0.702,0.305,0.258,0.066,0.073,0.298,NA,0.538,0.739,0.385,0.4,0.364,0.244,NA,0.421,0.818,NA,0.026,4,NA,0.156,0.286,NA,0,0,sextoco01
Landry Shamet,SG,24,PHO,69,1437,0.394,20,NA,0.311,0.089,0.109,0.058,0.056,0.689,NA,0.45,0.628,0.34,0.393,0.444,0.368,NA,0.603,0.951,NA,0.029,13,NA,0.302,0.396,NA,2,0,shamela01
Day'Ron Sharpe,PF,20,BRK,32,391,0.577,3.2,NA,0.953,0.772,0.161,0.02,0,0.047,NA,0.592,0.652,0.333,0.333,NA,0.286,NA,0.595,1,NA,0.195,22,NA,0.143,1,NA,0,0,sharpda01
Pascal Siakam,PF,27,TOR,68,2578,0.494,11.2,NA,0.819,0.216,0.34,0.132,0.132,0.181,NA,0.527,0.716,0.498,0.447,0.371,0.344,NA,0.292,0.947,NA,0.026,31,NA,0.183,0.475,NA,1,0,siakapa01
Marko Simonovic,C,22,CHI,9,35,0.267,12.2,NA,0.667,0.333,0.2,0,0.133,0.333,NA,0.3,0.6,0,NA,0,0.2,NA,0.667,1,NA,0.067,1,NA,0,NA,NA,0,0,simonma01
Anfernee Simons,SG,22,POR,57,1681,0.443,19,NA,0.445,0.113,0.118,0.109,0.105,0.555,NA,0.49,0.567,0.489,0.483,0.417,0.405,NA,0.195,0.654,NA,0.011,8,NA,0.09,0.4,NA,2,0,simonan01
Zavier Simpson,PG,24,OKC,4,174,0.365,9.1,NA,0.846,0.25,0.442,0.096,0.058,0.154,NA,0.409,0.538,0.391,0.4,0,0.125,NA,0.222,1,NA,0,0,NA,0,NA,NA,0,0,simpsza01
Jericho Sims,PF,23,NYK,41,555,0.722,2,NA,1,0.815,0.148,0.037,0,0,NA,0.722,0.795,0.5,0,NA,NA,NA,0.795,NA,NA,0.63,33,NA,NA,NA,NA,0,0,simsje01
Deividas Sirvydis,SG,21,DET,3,27,0.1,19.4,NA,0.3,0.2,0.1,0,0,0.7,NA,0,0,0,NA,NA,0.143,NA,NA,1,NA,0,0,NA,0,NA,NA,0,0,sirvyde01
Marcus Smart,PG,27,BOS,71,2296,0.418,16.1,NA,0.499,0.146,0.251,0.075,0.026,0.501,NA,0.506,0.695,0.439,0.5,0.105,0.331,NA,0.365,0.916,NA,0.013,8,NA,0.233,0.345,NA,2,0,smartma01
Dennis Smith Jr.,PG,24,POR,37,638,0.418,9,NA,0.857,0.354,0.307,0.09,0.106,0.143,NA,0.451,0.522,0.431,0.235,0.45,0.222,NA,0.329,0.5,NA,0.026,3,NA,0.222,0.333,NA,0,0,smithde03
Jaden Springer,SG,19,PHI,2,6,1,9.1,NA,1,0,1,0,0,0,NA,1,NA,1,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,sprinja01
Cassius Stanley,SG,22,DET,9,155,0.413,12.5,NA,0.63,0.152,0.413,0.043,0.022,0.37,NA,0.517,0.571,0.526,0.5,0,0.235,NA,0.6,1,NA,0.022,0,NA,0.471,0.25,NA,0,0,stanlca01
Lamar Stevens,PF,24,CLE,63,1015,0.489,9.9,NA,0.796,0.382,0.201,0.125,0.088,0.204,NA,0.543,0.73,0.266,0.475,0.464,0.277,NA,0.601,1,NA,0.113,33,NA,0.585,0.263,NA,0,0,stevela01
Isaiah Stewart,C,20,DET,71,1816,0.51,5.6,NA,0.906,0.584,0.243,0.039,0.041,0.094,NA,0.529,0.591,0.445,0.158,0.5,0.326,NA,0.689,0.933,NA,0.061,28,NA,0.087,0,NA,0,0,stewais01
Max Strus,SF,25,MIA,68,1587,0.441,21.1,NA,0.216,0.135,0.053,0.016,0.012,0.784,NA,0.557,0.658,0.433,0.222,0.429,0.41,NA,0.779,0.956,NA,0.016,7,NA,0.258,0.5,NA,1,0,strusma01
Jalen Suggs,PG,20,ORL,48,1307,0.361,13.3,NA,0.642,0.263,0.245,0.069,0.066,0.358,NA,0.443,0.611,0.313,0.395,0.306,0.214,NA,0.365,0.667,NA,0.035,15,NA,0.122,0.208,NA,1,0,suggsja01
Craig Sword,SG,28,WAS,3,19,0.75,7,NA,0.75,0.75,0,0,0,0.25,NA,1,1,NA,NA,NA,0,NA,1,NA,NA,0,0,NA,1,0,NA,0,0,swordcr01
Keifer Sykes,PG,28,IND,32,566,0.363,17.3,NA,0.526,0.168,0.079,0.116,0.163,0.474,NA,0.42,0.688,0.333,0.182,0.355,0.3,NA,0.429,0.889,NA,0.021,4,NA,0.3,0.407,NA,0,0,sykeske01
Jae'Sean Tate,PF,26,HOU,78,2056,0.498,9.2,NA,0.723,0.414,0.295,0.01,0.004,0.277,NA,0.569,0.705,0.391,0.286,0.333,0.312,NA,0.49,0.937,NA,0.064,43,NA,0.391,0.316,NA,0,0,tateja01
Jayson Tatum,SF,23,BOS,76,2731,0.453,15.2,NA,0.584,0.22,0.176,0.088,0.1,0.416,NA,0.524,0.741,0.413,0.328,0.41,0.353,NA,0.429,0.565,NA,0.052,76,NA,0.121,0.38,NA,2,0,tatumja01
Terry Taylor,SG,22,IND,33,714,0.614,7.2,NA,0.827,0.482,0.282,0.045,0.018,0.173,NA,0.676,0.755,0.565,0.6,0.5,0.316,NA,0.667,0.917,NA,0.064,11,NA,0.658,0.32,NA,1,0,taylote01
Garrett Temple,SG,35,NOP,59,1098,0.376,18.1,NA,0.373,0.18,0.071,0.071,0.051,0.627,NA,0.473,0.642,0.429,0.238,0.267,0.319,NA,0.635,0.983,NA,0.014,4,NA,0.459,0.318,NA,0,0,templga01
Emanuel Terry,PF,25,PHO,3,18,0,2.2,NA,1,0.6,0.4,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,terryem01
Tyrell Terry,PG,21,MEM,2,3,1,15.2,NA,1,0,0,1,0,0,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,terryty01
Jon Teske,C,24,MEM,3,8,0,15.5,NA,1,0,0,1,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,teskejo01
Brodric Thomas,SG,25,BOS,12,60,0.444,14.5,NA,0.5,0.389,0.111,0,0,0.5,NA,0.667,0.857,0,NA,NA,0.222,NA,0.833,0.5,NA,0.167,1,NA,0.111,0,NA,0,0,thomabr01
Cam Thomas,SG,20,BRK,67,1176,0.433,16,NA,0.654,0.107,0.145,0.25,0.151,0.346,NA,0.52,0.574,0.521,0.548,0.434,0.27,NA,0.415,0.702,NA,0.002,0,NA,0.172,0.433,NA,0,0,thomaca02
Matt Thomas,SG,27,CHI,40,459,0.41,22.6,NA,0.321,0.007,0.015,0.082,0.216,0.679,NA,0.465,1,0,0.273,0.552,0.385,NA,0.85,0.886,NA,0,0,NA,0.242,0.5,NA,0,0,thomama02
Klay Thompson,SG,31,GSW,32,941,0.429,18.9,NA,0.483,0.061,0.129,0.162,0.131,0.517,NA,0.477,0.714,0.486,0.409,0.44,0.385,NA,0.636,0.886,NA,0.009,5,NA,0.166,0.367,NA,1,0,thompkl01
JT Thor,PF,19,CHO,33,262,0.436,15.8,NA,0.509,0.255,0.127,0.073,0.055,0.491,NA,0.607,0.786,0.429,0.25,0.667,0.259,NA,0.706,1,NA,0.145,7,NA,0.111,0.667,NA,0,0,thorjt01
Matisse Thybulle,SG,24,PHI,66,1685,0.5,13.1,NA,0.52,0.407,0.097,0.017,0,0.48,NA,0.673,0.795,0.276,0,NA,0.313,NA,0.733,0.956,NA,0.203,60,NA,0.486,0.371,NA,0,0,thybuma01
Killian Tillie,C,23,MEM,36,461,0.339,18.7,NA,0.323,0.126,0.157,0.039,0,0.677,NA,0.39,0.688,0.2,0.2,NA,0.314,NA,0.625,0.963,NA,0.024,3,NA,0.302,0.269,NA,0,0,tilliki02
Xavier Tillman Sr.,PF,23,MEM,53,701,0.454,9.6,NA,0.773,0.389,0.245,0.106,0.032,0.227,NA,0.527,0.595,0.472,0.478,0.286,0.204,NA,0.67,0.9,NA,0.093,16,NA,0.286,0.357,NA,0,0,tillmxa01
Isaiah Todd,PF,20,WAS,12,74,0.269,18,NA,0.385,0.154,0.115,0.077,0.038,0.615,NA,0.3,0.25,0.333,0,1,0.25,NA,0.667,1,NA,0,0,NA,0.563,0.444,NA,0,0,toddis01
Obi Toppin,PF,23,NYK,72,1230,0.531,10.5,NA,0.643,0.505,0.108,0.017,0.013,0.357,NA,0.655,0.728,0.392,0.375,0.333,0.308,NA,0.824,1,NA,0.235,102,NA,0.491,0.349,NA,1,0,toppiob01
Juan Toscano-Anderson,SF,28,GSW,73,994,0.489,11.7,NA,0.63,0.328,0.277,0.013,0.013,0.37,NA,0.588,0.662,0.538,0,0.333,0.322,NA,0.69,0.857,NA,0.102,21,NA,0.253,0.273,NA,1,0,toscaju01
Karl-Anthony Towns,C,26,MIN,74,2476,0.529,11.5,NA,0.699,0.333,0.255,0.049,0.062,0.301,NA,0.58,0.688,0.537,0.35,0.36,0.41,NA,0.537,0.887,NA,0.091,99,NA,0.087,0.344,NA,0,0,townska01
Gary Trent Jr.,SG,23,TOR,70,2448,0.414,18.5,NA,0.498,0.087,0.131,0.113,0.167,0.502,NA,0.445,0.579,0.415,0.48,0.376,0.383,NA,0.411,0.766,NA,0.015,14,NA,0.196,0.374,NA,1,0,trentga02
P.J. Tucker,PF,36,MIA,71,1981,0.484,13.8,NA,0.549,0.199,0.255,0.079,0.016,0.451,NA,0.54,0.6,0.532,0.471,0.286,0.415,NA,0.819,0.988,NA,0.007,3,NA,0.886,0.415,NA,0,0,tuckepj01
Myles Turner,C,25,IND,42,1235,0.509,14.8,NA,0.534,0.242,0.216,0.048,0.028,0.466,NA,0.662,0.789,0.565,0.526,0.545,0.333,NA,0.683,1,NA,0.061,22,NA,0.186,0.324,NA,0,0,turnemy01
Jonas Valančiūnas,C,29,NOP,74,2240,0.544,9.1,NA,0.832,0.333,0.324,0.132,0.043,0.168,NA,0.581,0.696,0.52,0.484,0.45,0.361,NA,0.627,0.982,NA,0.064,53,NA,0.019,0.333,NA,0,0,valanjo01
Jarred Vanderbilt,PF,22,MIN,74,1880,0.587,3.1,NA,0.961,0.726,0.211,0.022,0.003,0.039,NA,0.605,0.71,0.289,0.25,0,0.143,NA,0.69,1,NA,0.343,117,NA,0.643,0.222,NA,0,0,vandeja01
Fred VanVleet,PG,27,TOR,65,2462,0.403,19.9,NA,0.415,0.086,0.122,0.091,0.116,0.585,NA,0.44,0.649,0.313,0.41,0.441,0.377,NA,0.225,0.595,NA,0,0,NA,0.126,0.432,NA,6,0,vanvlfr01
Devin Vassell,SF,21,SAS,71,1937,0.427,17.3,NA,0.503,0.131,0.126,0.151,0.096,0.497,NA,0.492,0.67,0.448,0.417,0.425,0.361,NA,0.672,0.971,NA,0.043,28,NA,0.326,0.347,NA,1,0,vassede01
Gabe Vincent,PG,25,MIA,68,1589,0.417,19.5,NA,0.37,0.138,0.078,0.082,0.072,0.63,NA,0.5,0.563,0.475,0.524,0.378,0.368,NA,0.4,0.798,NA,0.002,1,NA,0.251,0.42,NA,5,0,vincega01
Nikola Vučević,C,31,CHI,73,2418,0.473,13,NA,0.713,0.223,0.253,0.137,0.101,0.287,NA,0.537,0.708,0.49,0.449,0.397,0.314,NA,0.713,1,NA,0.032,34,NA,0.06,0.3,NA,2,0,vucevni01
Dean Wade,PF,25,CLE,51,980,0.456,18.3,NA,0.346,0.198,0.055,0.069,0.023,0.654,NA,0.64,0.767,0.5,0.267,1,0.359,NA,0.563,0.98,NA,0.065,14,NA,0.268,0.211,NA,0,0,wadede01
Franz Wagner,SF,20,ORL,79,2429,0.468,10.4,NA,0.722,0.295,0.367,0.043,0.016,0.278,NA,0.511,0.625,0.455,0.31,0.25,0.354,NA,0.531,0.833,NA,0.063,59,NA,0.225,0.459,NA,0,0,wagnefr01
Moritz Wagner,C,24,ORL,63,960,0.497,14.4,NA,0.492,0.316,0.169,0,0.008,0.508,NA,0.672,0.752,0.552,NA,0,0.328,NA,0.763,0.985,NA,0.149,50,NA,0.119,0.375,NA,0,0,wagnemo01
Ish Wainright,PF,27,PHO,45,359,0.394,15.8,NA,0.433,0.231,0.163,0.019,0.019,0.567,NA,0.489,0.708,0.294,0,0,0.322,NA,0.636,1,NA,0.038,3,NA,0.475,0.429,NA,0,0,wainris01
Kemba Walker,PG,31,NYK,37,948,0.403,18,NA,0.462,0.138,0.13,0.084,0.111,0.538,NA,0.444,0.569,0.375,0.323,0.463,0.367,NA,0.211,0.507,NA,0,0,NA,0.03,0.5,NA,0,0,walkeke02
Lonnie Walker IV,SG,23,SAS,70,1612,0.407,17,NA,0.538,0.166,0.122,0.093,0.157,0.462,NA,0.487,0.693,0.43,0.366,0.383,0.314,NA,0.54,0.856,NA,0.029,21,NA,0.195,0.362,NA,5,0,walkelo01
M.J. Walker,SG,23,PHO,2,8,0,15.4,NA,0.5,0.25,0.25,0,0,0.5,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0.5,0,NA,0,0,walkemj01
Tyrone Wallace,SG,27,NOP,6,75,0.35,13,NA,0.6,0.35,0.15,0.05,0.05,0.4,NA,0.417,0.714,0,0,0,0.25,NA,1,1,NA,0,0,NA,0.375,0.333,NA,0,0,wallaty01
Derrick Walton,PG,26,DET,3,108,0.231,18.1,NA,0.5,0.077,0.192,0.038,0.192,0.5,NA,0.231,0.5,0.2,0,0.2,0.231,NA,0,1,NA,0,0,NA,0,NA,NA,0,0,waltode01
Duane Washington Jr.,PG,21,IND,48,968,0.405,16.3,NA,0.496,0.201,0.155,0.08,0.061,0.504,NA,0.434,0.535,0.379,0.353,0.346,0.377,NA,0.522,0.926,NA,0.016,6,NA,0.34,0.479,NA,2,0,washidu02
P.J. Washington,C,23,CHO,65,1768,0.47,15.8,NA,0.434,0.286,0.132,0.015,0.002,0.566,NA,0.606,0.711,0.4,0.5,0,0.365,NA,0.793,0.973,NA,0.103,51,NA,0.252,0.316,NA,3,0,washipj01
Yuta Watanabe,SF,27,TOR,38,445,0.406,17.2,NA,0.428,0.167,0.13,0.101,0.029,0.572,NA,0.492,0.565,0.333,0.571,0.5,0.342,NA,0.655,1,NA,0.029,2,NA,0.43,0.382,NA,0,0,watanyu01
Lindy Waters III,SG,24,OKC,25,465,0.406,22.4,NA,0.166,0.04,0.097,0.023,0.006,0.834,NA,0.621,0.714,0.647,0.25,1,0.363,NA,0.722,0.887,NA,0.023,4,NA,0.247,0.306,NA,0,0,waterli01
Trendon Watford,SF,21,POR,48,869,0.532,8,NA,0.858,0.371,0.337,0.135,0.015,0.142,NA,0.581,0.768,0.478,0.361,0.25,0.237,NA,0.579,0.889,NA,0.03,7,NA,0.237,0.111,NA,0,0,watfotr01
Paul Watson,SF,27,OKC,9,156,0.343,19.7,NA,0.257,0.114,0.114,0.029,0,0.743,NA,0.667,0.75,0.5,1,NA,0.231,NA,0.5,1,NA,0.029,0,NA,0.423,0.273,NA,0,0,watsopa01
Quinndary Weatherspoon,SG,25,GSW,11,73,0.571,8.5,NA,0.762,0.476,0.238,0.048,0,0.238,NA,0.688,0.8,0.6,0,NA,0.2,NA,0.818,1,NA,0.048,1,NA,0.2,0,NA,0,0,weathqu01
Russell Westbrook,PG,33,LAL,78,2678,0.444,10.8,NA,0.785,0.333,0.232,0.106,0.114,0.215,NA,0.485,0.623,0.388,0.374,0.379,0.298,NA,0.232,0.646,NA,0.021,17,NA,0.181,0.438,NA,0,0,westbru01
Coby White,PG,21,CHI,61,1675,0.433,17.4,NA,0.452,0.183,0.13,0.065,0.073,0.548,NA,0.491,0.661,0.357,0.381,0.404,0.385,NA,0.42,0.897,NA,0.008,5,NA,0.198,0.471,NA,2,0,whiteco01
Hassan Whiteside,C,32,UTA,65,1162,0.652,3.8,NA,1,0.552,0.376,0.058,0.015,0,NA,0.652,0.802,0.516,0.263,0,NA,NA,0.637,NA,NA,0.282,86,NA,NA,NA,NA,0,0,whiteha01
Joe Wieskamp,SG,22,SAS,29,205,0.357,21.5,NA,0.232,0.071,0.054,0.036,0.071,0.768,NA,0.462,0.75,0.333,0.5,0.25,0.326,NA,0.5,0.929,NA,0,0,NA,0.209,0.111,NA,0,0,wieskjo01
Aaron Wiggins,SG,23,OKC,50,1209,0.463,12.7,NA,0.591,0.249,0.318,0.018,0.006,0.409,NA,0.573,0.655,0.514,0.5,0.5,0.304,NA,0.561,0.976,NA,0.05,15,NA,0.362,0.34,NA,0,0,wiggiaa01
Andrew Wiggins,SF,26,GSW,73,2329,0.466,14.9,NA,0.608,0.161,0.242,0.094,0.111,0.392,NA,0.513,0.732,0.49,0.365,0.372,0.393,NA,0.497,0.898,NA,0.051,45,NA,0.261,0.442,NA,0,0,wiggian01
Lindell Wigginton,PG,23,MIL,19,199,0.426,12.7,NA,0.574,0.377,0.18,0.016,0,0.426,NA,0.486,0.609,0.273,0,NA,0.346,NA,0.765,1,NA,0.016,0,NA,0.308,0.625,NA,0,0,wiggili01
Brandon Williams,PG,22,POR,24,640,0.372,14.1,NA,0.624,0.259,0.184,0.099,0.082,0.376,NA,0.42,0.507,0.327,0.429,0.348,0.292,NA,0.311,0.71,NA,0.004,1,NA,0.208,0.455,NA,3,0,willibr03
Grant Williams,PF,23,BOS,77,1875,0.475,16.6,NA,0.403,0.185,0.169,0.035,0.014,0.597,NA,0.569,0.75,0.493,0.133,0.167,0.411,NA,0.717,0.991,NA,0.032,11,NA,0.481,0.468,NA,0,0,willigr01
Kenrich Williams,SF,27,OKC,49,1072,0.461,13.7,NA,0.618,0.243,0.224,0.079,0.073,0.382,NA,0.536,0.649,0.479,0.48,0.391,0.339,NA,0.59,0.829,NA,0.085,24,NA,0.331,0.35,NA,1,0,willike04
Lou Williams,PG,35,ATL,56,799,0.391,15.3,NA,0.681,0.116,0.159,0.244,0.163,0.319,NA,0.404,0.514,0.392,0.372,0.385,0.363,NA,0.341,0.73,NA,0.003,1,NA,0.373,0.421,NA,0,0,willilo02
Patrick Williams,PF,20,CHI,17,422,0.529,13.2,NA,0.716,0.275,0.147,0.108,0.186,0.284,NA,0.534,0.714,0.4,0.545,0.368,0.517,NA,0.667,0.933,NA,0.069,7,NA,0.414,0.5,NA,0,0,willipa01
Robert Williams,C,24,BOS,61,1804,0.736,2.4,NA,0.997,0.772,0.198,0.014,0.014,0.003,NA,0.738,0.792,0.589,0.2,0.4,0,NA,0.694,NA,NA,0.47,157,NA,0,NA,NA,0,0,williro04
Ziaire Williams,SF,20,MEM,62,1346,0.45,17.2,NA,0.429,0.179,0.108,0.083,0.059,0.571,NA,0.632,0.855,0.478,0.343,0.64,0.314,NA,0.8,0.961,NA,0.104,44,NA,0.471,0.325,NA,2,0,willizi02
D.J. Wilson,PF,25,TOR,4,54,0.733,9.6,NA,0.867,0.4,0.133,0.2,0.133,0.133,NA,0.846,1,0.5,0.667,1,0,NA,0.727,NA,NA,0.267,4,NA,0.5,0,NA,0,0,wilsodj01
Dylan Windler,SF,25,CLE,50,459,0.378,18.7,NA,0.286,0.194,0.082,0.01,0,0.714,NA,0.571,0.632,0.5,0,NA,0.3,NA,0.813,0.952,NA,0.041,3,NA,0.429,0.333,NA,0,0,windldy01
Cassius Winston,PG,23,WAS,7,39,0.364,19.1,NA,0.455,0.091,0.091,0.182,0.091,0.545,NA,0.4,0,0,0.5,1,0.333,NA,0.5,1,NA,0,0,NA,0.167,0,NA,0,0,winstca01
Christian Wood,C,26,HOU,68,2094,0.501,13,NA,0.617,0.312,0.211,0.054,0.041,0.383,NA,0.57,0.737,0.454,0.34,0.194,0.39,NA,0.605,0.847,NA,0.147,120,NA,0.116,0.462,NA,1,0,woodch01
Robert Woodard II,SF,22,SAC,12,42,0.125,12.7,NA,0.75,0.188,0.25,0.125,0.188,0.25,NA,0.083,0.333,0,0,0,0.25,NA,1,1,NA,0.063,1,NA,0.25,0,NA,0,0,woodaro01
Delon Wright,SG,29,ATL,77,1452,0.454,14.1,NA,0.569,0.294,0.19,0.045,0.041,0.431,NA,0.51,0.62,0.412,0.25,0.455,0.379,NA,0.449,0.818,NA,0.026,7,NA,0.25,0.276,NA,3,0,wrighde01
McKinley Wright IV,PG,23,MIN,5,19,0.667,19.3,NA,0.333,0,0.333,0,0,0.667,NA,1,NA,1,NA,NA,0.5,NA,0,0,NA,0,0,NA,0,NA,NA,0,0,wrighmc01
Gabe York,SG,28,IND,2,21,0.286,22.4,NA,0.143,0,0.143,0,0,0.857,NA,1,NA,1,NA,NA,0.167,NA,1,1,NA,0,0,NA,0.167,0,NA,0,0,yorkga01
Trae Young,PG,23,ATL,76,2652,0.46,16.5,NA,0.605,0.159,0.204,0.116,0.126,0.395,NA,0.512,0.62,0.451,0.469,0.513,0.382,NA,0.142,0.223,NA,0,0,NA,0.048,0.552,NA,1,0,youngtr01
Omer Yurtseven,C,23,MIA,56,706,0.526,5.8,NA,0.955,0.437,0.385,0.113,0.02,0.045,NA,0.547,0.722,0.432,0.357,0,0.091,NA,0.783,1,NA,0.178,39,NA,0.182,0,NA,0,0,yurtsom01
Cody Zeller,C,29,POR,27,355,0.567,3.7,NA,0.956,0.644,0.267,0.033,0.011,0.044,NA,0.593,0.621,0.542,0.333,1,0,NA,0.725,NA,NA,0.211,16,NA,0.25,0,NA,0,0,zelleco01
Ivica Zubac,C,24,LAC,76,1852,0.626,3.4,NA,1,0.58,0.382,0.032,0.006,0,NA,0.626,0.714,0.508,0.5,0.333,NA,NA,0.719,NA,NA,0.248,110,NA,NA,NA,NA,0,0,zubaciv01
